species,metric,lower_bounds,upper_bounds
Acinetobacter_baylyi,N50,28000.0,
Acinetobacter_baylyi,no_of_contigs,,280.0
Acinetobacter_baylyi,GC_Content,40.0,41.0
Acinetobacter_baylyi,Completeness,99.0,
Acinetobacter_baylyi,Contamination,,1.0
Acinetobacter_baylyi,Total_Coding_Sequences,3000.0,3700.0
Acinetobacter_baylyi,Genome_Size,3200000.0,3900000.0
Acinetobacter_pittii,N50,26000.0,
Acinetobacter_pittii,no_of_contigs,,360.0
Acinetobacter_pittii,GC_Content,38.0,40.0
Acinetobacter_pittii,Completeness,98.0,
Acinetobacter_pittii,Contamination,,2.0
Acinetobacter_pittii,Total_Coding_Sequences,3400.0,4400.0
Acinetobacter_pittii,Genome_Size,3600000.0,4500000.0
Acinetobacter_ursingii,N50,33000.0,
Acinetobacter_ursingii,no_of_contigs,,260.0
Acinetobacter_ursingii,GC_Content,39.0,41.0
Acinetobacter_ursingii,Completeness,100.0,
Acinetobacter_ursingii,Contamination,,2.0
Acinetobacter_ursingii,Total_Coding_Sequences,3000.0,4000.0
Acinetobacter_ursingii,Genome_Size,3200000.0,4200000.0
Acinetobacter_baumannii,N50,17000.0,
Acinetobacter_baumannii,no_of_contigs,,490.0
Acinetobacter_baumannii,GC_Content,38.0,40.0
Acinetobacter_baumannii,Completeness,97.0,
Acinetobacter_baumannii,Contamination,,7.0
Acinetobacter_baumannii,Total_Coding_Sequences,3400.0,4500.0
Acinetobacter_baumannii,Genome_Size,3600000.0,4600000.0
Acinetobacter_johnsonii,N50,30000.0,
Acinetobacter_johnsonii,no_of_contigs,,490.0
Acinetobacter_johnsonii,GC_Content,40.0,42.0
Acinetobacter_johnsonii,Completeness,87.0,
Acinetobacter_johnsonii,Contamination,,9.0
Acinetobacter_johnsonii,Total_Coding_Sequences,3200.0,4300.0
Acinetobacter_johnsonii,Genome_Size,3300000.0,4200000.0
Acinetobacter_nosocomialis,N50,19000.0,
Acinetobacter_nosocomialis,no_of_contigs,,440.0
Acinetobacter_nosocomialis,GC_Content,38.0,40.0
Acinetobacter_nosocomialis,Completeness,90.0,
Acinetobacter_nosocomialis,Contamination,,7.0
Acinetobacter_nosocomialis,Total_Coding_Sequences,3500.0,4200.0
Acinetobacter_nosocomialis,Genome_Size,3700000.0,4400000.0
