species,metric,lower_bounds,upper_bounds
Aeromonas_veronii,N50,32000.0,
Aeromonas_veronii,no_of_contigs,,540.0
Aeromonas_veronii,GC_Content,58.0,61.0
Aeromonas_veronii,Completeness,91.0,
Aeromonas_veronii,Contamination,,11.0
Aeromonas_veronii,Total_Coding_Sequences,3900.0,5000.0
Aeromonas_veronii,Genome_Size,4300000.0,5200000.0
Aeromonas_salmonicida,N50,25000.0,
Aeromonas_salmonicida,no_of_contigs,,490.0
Aeromonas_salmonicida,GC_Content,58.0,60.0
Aeromonas_salmonicida,Completeness,95.0,
Aeromonas_salmonicida,Contamination,,2.0
Aeromonas_salmonicida,Total_Coding_Sequences,4200.0,5000.0
Aeromonas_salmonicida,Genome_Size,4300000.0,5200000.0
Aeromonas_hydrophila,N50,27000.0,
Aeromonas_hydrophila,no_of_contigs,,500.0
Aeromonas_hydrophila,GC_Content,60.0,62.0
Aeromonas_hydrophila,Completeness,91.0,
Aeromonas_hydrophila,Contamination,,8.0
Aeromonas_hydrophila,Total_Coding_Sequences,4100.0,5400.0
Aeromonas_hydrophila,Genome_Size,4600000.0,5700000.0
Aeromonas_caviae,N50,23000.0,
Aeromonas_caviae,no_of_contigs,,670.0
Aeromonas_caviae,GC_Content,60.0,63.0
Aeromonas_caviae,Completeness,99.0,
Aeromonas_caviae,Contamination,,6.0
Aeromonas_caviae,Total_Coding_Sequences,3800.0,5200.0
Aeromonas_caviae,Genome_Size,4200000.0,5400000.0
Aeromonas_dhakensis,N50,61000.0,
Aeromonas_dhakensis,no_of_contigs,,180.0
Aeromonas_dhakensis,GC_Content,60.0,62.0
Aeromonas_dhakensis,Completeness,97.0,
Aeromonas_dhakensis,Contamination,,1.0
Aeromonas_dhakensis,Total_Coding_Sequences,4100.0,4700.0
Aeromonas_dhakensis,Genome_Size,4600000.0,5100000.0
