species,metric,lower_bounds,upper_bounds
Agrobacterium_tumefaciens,N50,161000.0,
Agrobacterium_tumefaciens,no_of_contigs,,130.0
Agrobacterium_tumefaciens,GC_Content,57.0,61.0
Agrobacterium_tumefaciens,Completeness,88.0,
Agrobacterium_tumefaciens,Contamination,,16.0
Agrobacterium_tumefaciens,Total_Coding_Sequences,4300.0,6200.0
Agrobacterium_tumefaciens,Genome_Size,4600000.0,6500000.0
Agrobacterium_fabacearum,N50,274000.0,
Agrobacterium_fabacearum,no_of_contigs,,110.0
Agrobacterium_fabacearum,GC_Content,57.0,61.0
Agrobacterium_fabacearum,Completeness,88.0,
Agrobacterium_fabacearum,Contamination,,16.0
Agrobacterium_fabacearum,Total_Coding_Sequences,4300.0,6200.0
Agrobacterium_fabacearum,Genome_Size,4600000.0,6500000.0
Agrobacterium_pusense,N50,177000.0,
Agrobacterium_pusense,no_of_contigs,,230.0
Agrobacterium_pusense,GC_Content,59.0,60.0
Agrobacterium_pusense,Completeness,98.0,
Agrobacterium_pusense,Contamination,,6.0
Agrobacterium_pusense,Total_Coding_Sequences,4600.0,6300.0
Agrobacterium_pusense,Genome_Size,4900000.0,6400000.0
