species,metric,lower_bounds,upper_bounds
Bacillus_subtilis,N50,23000.0,
Bacillus_subtilis,no_of_contigs,,470.0
Bacillus_subtilis,GC_Content,42.0,45.0
Bacillus_subtilis,Completeness,91.0,
Bacillus_subtilis,Contamination,,12.0
Bacillus_subtilis,Total_Coding_Sequences,3800.0,5000.0
Bacillus_subtilis,Genome_Size,3600000.0,4600000.0
Bacillus_anthracis,N50,14000.0,
Bacillus_anthracis,no_of_contigs,,750.0
Bacillus_anthracis,GC_Content,35.0,36.0
Bacillus_anthracis,Completeness,95.0,
Bacillus_anthracis,Contamination,,4.0
Bacillus_anthracis,Total_Coding_Sequences,5200.0,6100.0
Bacillus_anthracis,Genome_Size,5100000.0,5900000.0
