species,metric,lower_bounds,upper_bounds
Bacteroides_xylanisolvens,N50,16000.0,
Bacteroides_xylanisolvens,no_of_contigs,,980.0
Bacteroides_xylanisolvens,GC_Content,41.0,43.0
Bacteroides_xylanisolvens,Completeness,95.0,
Bacteroides_xylanisolvens,Contamination,,9.0
Bacteroides_xylanisolvens,Total_Coding_Sequences,4400.0,6000.0
Bacteroides_xylanisolvens,Genome_Size,5600000.0,7000000.0
Bacteroides_cellulosilyticus,N50,50000.0,
Bacteroides_cellulosilyticus,no_of_contigs,,500.0
Bacteroides_cellulosilyticus,GC_Content,42.0,44.0
Bacteroides_cellulosilyticus,Completeness,100.0,
Bacteroides_cellulosilyticus,Contamination,,4.0
Bacteroides_cellulosilyticus,Total_Coding_Sequences,4900.0,6100.0
Bacteroides_cellulosilyticus,Genome_Size,6500000.0,7700000.0
Bacteroides_fragilis,N50,22000.0,
Bacteroides_fragilis,no_of_contigs,,500.0
Bacteroides_fragilis,GC_Content,43.0,44.0
Bacteroides_fragilis,Completeness,98.0,
Bacteroides_fragilis,Contamination,,7.0
Bacteroides_fragilis,Total_Coding_Sequences,3900.0,5100.0
Bacteroides_fragilis,Genome_Size,4800000.0,5800000.0
Bacteroides_thetaiotaomicron,N50,16000.0,
Bacteroides_thetaiotaomicron,no_of_contigs,,930.0
Bacteroides_thetaiotaomicron,GC_Content,42.0,44.0
Bacteroides_thetaiotaomicron,Completeness,94.0,
Bacteroides_thetaiotaomicron,Contamination,,5.0
Bacteroides_thetaiotaomicron,Total_Coding_Sequences,4400.0,6100.0
Bacteroides_thetaiotaomicron,Genome_Size,5800000.0,7200000.0
Bacteroides_uniformis,N50,25000.0,
Bacteroides_uniformis,no_of_contigs,,470.0
Bacteroides_uniformis,GC_Content,45.0,47.0
Bacteroides_uniformis,Completeness,92.0,
Bacteroides_uniformis,Contamination,,9.0
Bacteroides_uniformis,Total_Coding_Sequences,3400.0,4900.0
Bacteroides_uniformis,Genome_Size,4200000.0,5500000.0
Bacteroides_stercoris,N50,24000.0,
Bacteroides_stercoris,no_of_contigs,,360.0
Bacteroides_stercoris,GC_Content,45.0,47.0
Bacteroides_stercoris,Completeness,93.0,
Bacteroides_stercoris,Contamination,,10.0
Bacteroides_stercoris,Total_Coding_Sequences,2900.0,4100.0
Bacteroides_stercoris,Genome_Size,3400000.0,4800000.0
Bacteroides_ovatus,N50,26000.0,
Bacteroides_ovatus,no_of_contigs,,560.0
Bacteroides_ovatus,GC_Content,41.0,43.0
Bacteroides_ovatus,Completeness,93.0,
Bacteroides_ovatus,Contamination,,5.0
Bacteroides_ovatus,Total_Coding_Sequences,4700.0,6400.0
Bacteroides_ovatus,Genome_Size,6200000.0,7700000.0
Bacteroides_caccae,N50,67000.0,
Bacteroides_caccae,no_of_contigs,,380.0
Bacteroides_caccae,GC_Content,41.0,43.0
Bacteroides_caccae,Completeness,95.0,
Bacteroides_caccae,Contamination,,6.0
Bacteroides_caccae,Total_Coding_Sequences,3600.0,5100.0
Bacteroides_caccae,Genome_Size,4500000.0,5800000.0
