species,metric,lower_bounds,upper_bounds
Bifidobacterium_longum,N50,50000.0,
Bifidobacterium_longum,no_of_contigs,,170.0
Bifidobacterium_longum,GC_Content,59.0,61.0
Bifidobacterium_longum,Completeness,93.0,
Bifidobacterium_longum,Contamination,,3.0
Bifidobacterium_longum,Total_Coding_Sequences,1700.0,2700.0
Bifidobacterium_longum,Genome_Size,2200000.0,2900000.0
Bifidobacterium_breve,N50,11000.0,
Bifidobacterium_breve,no_of_contigs,,410.0
Bifidobacterium_breve,GC_Content,58.0,60.0
Bifidobacterium_breve,Completeness,94.0,
Bifidobacterium_breve,Contamination,,13.0
Bifidobacterium_breve,Total_Coding_Sequences,1800.0,2400.0
Bifidobacterium_breve,Genome_Size,2200000.0,2600000.0
Bifidobacterium_pseudocatenulatum,N50,58000.0,
Bifidobacterium_pseudocatenulatum,no_of_contigs,,90.0
Bifidobacterium_pseudocatenulatum,GC_Content,56.0,57.0
Bifidobacterium_pseudocatenulatum,Completeness,93.0,
Bifidobacterium_pseudocatenulatum,Contamination,,2.0
Bifidobacterium_pseudocatenulatum,Total_Coding_Sequences,1600.0,2300.0
Bifidobacterium_pseudocatenulatum,Genome_Size,2100000.0,2600000.0
Bifidobacterium_dentium,N50,101000.0,
Bifidobacterium_dentium,no_of_contigs,,70.0
Bifidobacterium_dentium,GC_Content,58.0,59.0
Bifidobacterium_dentium,Completeness,88.0,
Bifidobacterium_dentium,Contamination,,6.0
Bifidobacterium_dentium,Total_Coding_Sequences,1900.0,2500.0
Bifidobacterium_dentium,Genome_Size,2400000.0,2800000.0
Bifidobacterium_animalis,N50,77000.0,
Bifidobacterium_animalis,no_of_contigs,,50.0
Bifidobacterium_animalis,GC_Content,60.0,61.0
Bifidobacterium_animalis,Completeness,94.0,
Bifidobacterium_animalis,Contamination,,4.0
Bifidobacterium_animalis,Total_Coding_Sequences,1500.0,1700.0
Bifidobacterium_animalis,Genome_Size,1900000.0,2100000.0
Bifidobacterium_adolescentis,N50,62000.0,
Bifidobacterium_adolescentis,no_of_contigs,,90.0
Bifidobacterium_adolescentis,GC_Content,58.0,61.0
Bifidobacterium_adolescentis,Completeness,93.0,
Bifidobacterium_adolescentis,Contamination,,6.0
Bifidobacterium_adolescentis,Total_Coding_Sequences,1600.0,2200.0
Bifidobacterium_adolescentis,Genome_Size,2000000.0,2500000.0
Bifidobacterium_bifidum,N50,66000.0,
Bifidobacterium_bifidum,no_of_contigs,,70.0
Bifidobacterium_bifidum,GC_Content,62.0,63.0
Bifidobacterium_bifidum,Completeness,92.0,
Bifidobacterium_bifidum,Contamination,,5.0
Bifidobacterium_bifidum,Total_Coding_Sequences,1700.0,2300.0
Bifidobacterium_bifidum,Genome_Size,2100000.0,2600000.0
