species,metric,lower_bounds,upper_bounds
Borreliella_garinii,N50,12000.0,
Borreliella_garinii,no_of_contigs,,450.0
Borreliella_garinii,GC_Content,27.0,29.0
Borreliella_garinii,Completeness,78.0,
Borreliella_garinii,Contamination,,3.0
Borreliella_garinii,Total_Coding_Sequences,800.0,1800.0
Borreliella_garinii,Genome_Size,800000.0,1500000.0
Borreliella_burgdorferi,N50,2000.0,
Borreliella_burgdorferi,no_of_contigs,,1030.0
Borreliella_burgdorferi,GC_Content,27.0,33.0
Borreliella_burgdorferi,Completeness,84.0,
Borreliella_burgdorferi,Contamination,,9.0
Borreliella_burgdorferi,Total_Coding_Sequences,800.0,2000.0
Borreliella_burgdorferi,Genome_Size,900000.0,1700000.0
Borreliella_afzelii,N50,12000.0,
Borreliella_afzelii,no_of_contigs,,430.0
Borreliella_afzelii,GC_Content,27.0,29.0
Borreliella_afzelii,Completeness,95.0,
Borreliella_afzelii,Contamination,,2.0
Borreliella_afzelii,Total_Coding_Sequences,800.0,1700.0
Borreliella_afzelii,Genome_Size,900000.0,1500000.0
