species,metric,lower_bounds,upper_bounds
Burkholderia_cenocepacia,N50,23000.0,
Burkholderia_cenocepacia,no_of_contigs,,730.0
Burkholderia_cenocepacia,GC_Content,66.0,68.0
Burkholderia_cenocepacia,Completeness,93.0,
Burkholderia_cenocepacia,Contamination,,5.0
Burkholderia_cenocepacia,Total_Coding_Sequences,6200.0,8200.0
Burkholderia_cenocepacia,Genome_Size,6700000.0,8800000.0
Burkholderia_gladioli,N50,60000.0,
Burkholderia_gladioli,no_of_contigs,,350.0
Burkholderia_gladioli,GC_Content,67.0,69.0
Burkholderia_gladioli,Completeness,92.0,
Burkholderia_gladioli,Contamination,,5.0
Burkholderia_gladioli,Total_Coding_Sequences,6600.0,8100.0
Burkholderia_gladioli,Genome_Size,7600000.0,9100000.0
Burkholderia_orbicola,N50,8000.0,
Burkholderia_orbicola,no_of_contigs,,1840.0
Burkholderia_orbicola,GC_Content,66.0,68.0
Burkholderia_orbicola,Completeness,100.0,
Burkholderia_orbicola,Contamination,,3.0
Burkholderia_orbicola,Total_Coding_Sequences,5700.0,8100.0
Burkholderia_orbicola,Genome_Size,6400000.0,8100000.0
Burkholderia_dolosa,N50,19000.0,
Burkholderia_dolosa,no_of_contigs,,730.0
Burkholderia_dolosa,GC_Content,66.0,68.0
Burkholderia_dolosa,Completeness,100.0,
Burkholderia_dolosa,Contamination,,3.0
Burkholderia_dolosa,Total_Coding_Sequences,5500.0,6100.0
Burkholderia_dolosa,Genome_Size,6100000.0,6600000.0
Burkholderia_ubonensis,N50,97000.0,
Burkholderia_ubonensis,no_of_contigs,,330.0
Burkholderia_ubonensis,GC_Content,66.0,68.0
Burkholderia_ubonensis,Completeness,99.0,
Burkholderia_ubonensis,Contamination,,3.0
Burkholderia_ubonensis,Total_Coding_Sequences,5700.0,7600.0
Burkholderia_ubonensis,Genome_Size,6300000.0,8300000.0
Burkholderia_vietnamiensis,N50,37000.0,
Burkholderia_vietnamiensis,no_of_contigs,,400.0
Burkholderia_vietnamiensis,GC_Content,66.0,68.0
Burkholderia_vietnamiensis,Completeness,99.0,
Burkholderia_vietnamiensis,Contamination,,3.0
Burkholderia_vietnamiensis,Total_Coding_Sequences,5500.0,7100.0
Burkholderia_vietnamiensis,Genome_Size,6100000.0,7700000.0
Burkholderia_multivorans,N50,22000.0,
Burkholderia_multivorans,no_of_contigs,,710.0
Burkholderia_multivorans,GC_Content,66.0,68.0
Burkholderia_multivorans,Completeness,97.0,
Burkholderia_multivorans,Contamination,,4.0
Burkholderia_multivorans,Total_Coding_Sequences,5300.0,6700.0
Burkholderia_multivorans,Genome_Size,6000000.0,7300000.0
Burkholderia_stagnalis,N50,129000.0,
Burkholderia_stagnalis,no_of_contigs,,240.0
Burkholderia_stagnalis,GC_Content,67.0,68.0
Burkholderia_stagnalis,Completeness,100.0,
Burkholderia_stagnalis,Contamination,,2.0
Burkholderia_stagnalis,Total_Coding_Sequences,6600.0,7300.0
Burkholderia_stagnalis,Genome_Size,7400000.0,8200000.0
Burkholderia_contaminans,N50,21000.0,
Burkholderia_contaminans,no_of_contigs,,1140.0
Burkholderia_contaminans,GC_Content,65.0,73.0
Burkholderia_contaminans,Completeness,94.0,
Burkholderia_contaminans,Contamination,,3.0
Burkholderia_contaminans,Total_Coding_Sequences,5900.0,9300.0
Burkholderia_contaminans,Genome_Size,6200000.0,10100000.0
Burkholderia_mallei,N50,24000.0,
Burkholderia_mallei,no_of_contigs,,690.0
Burkholderia_mallei,GC_Content,67.0,69.0
Burkholderia_mallei,Completeness,95.0,
Burkholderia_mallei,Contamination,,6.0
Burkholderia_mallei,Total_Coding_Sequences,4700.0,6500.0
Burkholderia_mallei,Genome_Size,5200000.0,7500000.0
Burkholderia_cepacia,N50,79000.0,
Burkholderia_cepacia,no_of_contigs,,360.0
Burkholderia_cepacia,GC_Content,65.0,68.0
Burkholderia_cepacia,Completeness,95.0,
Burkholderia_cepacia,Contamination,,5.0
Burkholderia_cepacia,Total_Coding_Sequences,5900.0,8800.0
Burkholderia_cepacia,Genome_Size,6400000.0,9500000.0
