species,metric,lower_bounds,upper_bounds
Campylobacter_coli,N50,25000.0,
Campylobacter_coli,no_of_contigs,,180.0
Campylobacter_coli,GC_Content,30.0,32.0
Campylobacter_coli,Completeness,95.0,
Campylobacter_coli,Contamination,,13.0
Campylobacter_coli,Total_Coding_Sequences,1600.0,2300.0
Campylobacter_coli,Genome_Size,1600000.0,2200000.0
Campylobacter_jejuni,N50,22000.0,
Campylobacter_jejuni,no_of_contigs,,160.0
Campylobacter_jejuni,GC_Content,30.0,31.0
Campylobacter_jejuni,Completeness,96.0,
Campylobacter_jejuni,Contamination,,10.0
Campylobacter_jejuni,Total_Coding_Sequences,1600.0,2200.0
Campylobacter_jejuni,Genome_Size,1500000.0,2000000.0
Campylobacter_upsaliensis,N50,27000.0,
Campylobacter_upsaliensis,no_of_contigs,,170.0
Campylobacter_upsaliensis,GC_Content,34.0,36.0
Campylobacter_upsaliensis,Completeness,99.0,
Campylobacter_upsaliensis,Contamination,,1.0
Campylobacter_upsaliensis,Total_Coding_Sequences,1600.0,2000.0
Campylobacter_upsaliensis,Genome_Size,1500000.0,1900000.0
Campylobacter_hyointestinalis,N50,49000.0,
Campylobacter_hyointestinalis,no_of_contigs,,90.0
Campylobacter_hyointestinalis,GC_Content,33.0,35.0
Campylobacter_hyointestinalis,Completeness,100.0,
Campylobacter_hyointestinalis,Contamination,,2.0
Campylobacter_hyointestinalis,Total_Coding_Sequences,1700.0,2100.0
Campylobacter_hyointestinalis,Genome_Size,1600000.0,2000000.0
Campylobacter_lari,N50,32000.0,
Campylobacter_lari,no_of_contigs,,130.0
Campylobacter_lari,GC_Content,29.0,31.0
Campylobacter_lari,Completeness,96.0,
Campylobacter_lari,Contamination,,3.0
Campylobacter_lari,Total_Coding_Sequences,1400.0,1900.0
Campylobacter_lari,Genome_Size,1400000.0,1800000.0
Campylobacter_fetus,N50,67000.0,
Campylobacter_fetus,no_of_contigs,,120.0
Campylobacter_fetus,GC_Content,33.0,34.0
Campylobacter_fetus,Completeness,92.0,
Campylobacter_fetus,Contamination,,8.0
Campylobacter_fetus,Total_Coding_Sequences,1700.0,2400.0
Campylobacter_fetus,Genome_Size,1700000.0,2200000.0
