species,metric,lower_bounds,upper_bounds
Citrobacter_koseri,N50,80000.0,
Citrobacter_koseri,no_of_contigs,,180.0
Citrobacter_koseri,GC_Content,53.0,54.0
Citrobacter_koseri,Completeness,99.0,
Citrobacter_koseri,Contamination,,2.0
Citrobacter_koseri,Total_Coding_Sequences,4100.0,5200.0
Citrobacter_koseri,Genome_Size,4500000.0,5300000.0
Citrobacter_farmeri,N50,54000.0,
Citrobacter_farmeri,no_of_contigs,,290.0
Citrobacter_farmeri,GC_Content,52.0,54.0
Citrobacter_farmeri,Completeness,99.0,
Citrobacter_farmeri,Contamination,,6.0
Citrobacter_farmeri,Total_Coding_Sequences,4500.0,5900.0
Citrobacter_farmeri,Genome_Size,4900000.0,6000000.0
Citrobacter_braakii,N50,77000.0,
Citrobacter_braakii,no_of_contigs,,280.0
Citrobacter_braakii,GC_Content,51.0,53.0
Citrobacter_braakii,Completeness,98.0,
Citrobacter_braakii,Contamination,,6.0
Citrobacter_braakii,Total_Coding_Sequences,4400.0,6200.0
Citrobacter_braakii,Genome_Size,4700000.0,6200000.0
Citrobacter_portucalensis,N50,47000.0,
Citrobacter_portucalensis,no_of_contigs,,360.0
Citrobacter_portucalensis,GC_Content,51.0,53.0
Citrobacter_portucalensis,Completeness,97.0,
Citrobacter_portucalensis,Contamination,,4.0
Citrobacter_portucalensis,Total_Coding_Sequences,4300.0,5700.0
Citrobacter_portucalensis,Genome_Size,4600000.0,5800000.0
Citrobacter_youngae,N50,121000.0,
Citrobacter_youngae,no_of_contigs,,230.0
Citrobacter_youngae,GC_Content,51.0,52.0
Citrobacter_youngae,Completeness,97.0,
Citrobacter_youngae,Contamination,,3.0
Citrobacter_youngae,Total_Coding_Sequences,4200.0,6100.0
Citrobacter_youngae,Genome_Size,4600000.0,6100000.0
Citrobacter_rodentium,N50,1000.0,
Citrobacter_rodentium,no_of_contigs,,310.0
Citrobacter_rodentium,GC_Content,51.0,55.0
Citrobacter_rodentium,Completeness,6.0,
Citrobacter_rodentium,Contamination,,1.0
Citrobacter_rodentium,Total_Coding_Sequences,200.0,5300.0
Citrobacter_rodentium,Genome_Size,100000.0,5500000.0
Citrobacter_freundii,N50,58000.0,
Citrobacter_freundii,no_of_contigs,,320.0
Citrobacter_freundii,GC_Content,51.0,53.0
Citrobacter_freundii,Completeness,93.0,
Citrobacter_freundii,Contamination,,11.0
Citrobacter_freundii,Total_Coding_Sequences,4400.0,6200.0
Citrobacter_freundii,Genome_Size,4600000.0,6100000.0
Citrobacter_amalonaticus,N50,46000.0,
Citrobacter_amalonaticus,no_of_contigs,,270.0
Citrobacter_amalonaticus,GC_Content,52.0,54.0
Citrobacter_amalonaticus,Completeness,99.0,
Citrobacter_amalonaticus,Contamination,,4.0
Citrobacter_amalonaticus,Total_Coding_Sequences,4300.0,5700.0
Citrobacter_amalonaticus,Genome_Size,4600000.0,5900000.0
Citrobacter_sedlakii,N50,196000.0,
Citrobacter_sedlakii,no_of_contigs,,150.0
Citrobacter_sedlakii,GC_Content,54.0,55.0
Citrobacter_sedlakii,Completeness,99.0,
Citrobacter_sedlakii,Contamination,,2.0
Citrobacter_sedlakii,Total_Coding_Sequences,4100.0,5100.0
Citrobacter_sedlakii,Genome_Size,4500000.0,5200000.0
Citrobacter_werkmanii,N50,51000.0,
Citrobacter_werkmanii,no_of_contigs,,300.0
Citrobacter_werkmanii,GC_Content,51.0,53.0
Citrobacter_werkmanii,Completeness,99.0,
Citrobacter_werkmanii,Contamination,,5.0
Citrobacter_werkmanii,Total_Coding_Sequences,4400.0,6000.0
Citrobacter_werkmanii,Genome_Size,4700000.0,6000000.0
