species,metric,lower_bounds,upper_bounds
Clostridium_tetani,N50,95000.0,
Clostridium_tetani,no_of_contigs,,110.0
Clostridium_tetani,GC_Content,28.0,29.0
Clostridium_tetani,Completeness,98.0,
Clostridium_tetani,Contamination,,1.0
Clostridium_tetani,Total_Coding_Sequences,2600.0,3200.0
Clostridium_tetani,Genome_Size,2700000.0,3100000.0
Clostridium_difficile,N50,8000.0,
Clostridium_difficile,no_of_contigs,,800.0
Clostridium_difficile,GC_Content,28.0,30.0
Clostridium_difficile,Completeness,95.0,
Clostridium_difficile,Contamination,,4.0
Clostridium_difficile,Total_Coding_Sequences,3400.0,4300.0
Clostridium_difficile,Genome_Size,3800000.0,4600000.0
Clostridium_botulinum,N50,12000.0,
Clostridium_botulinum,no_of_contigs,,570.0
Clostridium_botulinum,GC_Content,27.0,29.0
Clostridium_botulinum,Completeness,95.0,
Clostridium_botulinum,Contamination,,3.0
Clostridium_botulinum,Total_Coding_Sequences,2600.0,4400.0
Clostridium_botulinum,Genome_Size,2700000.0,4500000.0
Clostridium_cagae,N50,26000.0,
Clostridium_cagae,no_of_contigs,,300.0
Clostridium_cagae,GC_Content,27.0,27.0
Clostridium_cagae,Completeness,100.0,
Clostridium_cagae,Contamination,,1.0
Clostridium_cagae,Total_Coding_Sequences,3300.0,4000.0
Clostridium_cagae,Genome_Size,3600000.0,4100000.0
Clostridium_beijerinckii,N50,89000.0,
Clostridium_beijerinckii,no_of_contigs,,280.0
Clostridium_beijerinckii,GC_Content,29.0,30.0
Clostridium_beijerinckii,Completeness,89.0,
Clostridium_beijerinckii,Contamination,,9.0
Clostridium_beijerinckii,Total_Coding_Sequences,4900.0,6000.0
Clostridium_beijerinckii,Genome_Size,5500000.0,6500000.0
