species,metric,lower_bounds,upper_bounds
Corynebacterium_jeikeium,N50,77000.0,
Corynebacterium_jeikeium,no_of_contigs,,130.0
Corynebacterium_jeikeium,GC_Content,61.0,63.0
Corynebacterium_jeikeium,Completeness,96.0,
Corynebacterium_jeikeium,Contamination,,3.0
Corynebacterium_jeikeium,Total_Coding_Sequences,1900.0,2300.0
Corynebacterium_jeikeium,Genome_Size,2200000.0,2600000.0
Corynebacterium_striatum,N50,51000.0,
Corynebacterium_striatum,no_of_contigs,,290.0
Corynebacterium_striatum,GC_Content,58.0,60.0
Corynebacterium_striatum,Completeness,99.0,
Corynebacterium_striatum,Contamination,,3.0
Corynebacterium_striatum,Total_Coding_Sequences,2400.0,3200.0
Corynebacterium_striatum,Genome_Size,2600000.0,3100000.0
Corynebacterium_glutamicum,N50,102000.0,
Corynebacterium_glutamicum,no_of_contigs,,100.0
Corynebacterium_glutamicum,GC_Content,53.0,55.0
Corynebacterium_glutamicum,Completeness,92.0,
Corynebacterium_glutamicum,Contamination,,4.0
Corynebacterium_glutamicum,Total_Coding_Sequences,2600.0,3300.0
Corynebacterium_glutamicum,Genome_Size,2800000.0,3500000.0
Corynebacterium_diphtheriae,N50,62000.0,
Corynebacterium_diphtheriae,no_of_contigs,,110.0
Corynebacterium_diphtheriae,GC_Content,53.0,54.0
Corynebacterium_diphtheriae,Completeness,96.0,
Corynebacterium_diphtheriae,Contamination,,2.0
Corynebacterium_diphtheriae,Total_Coding_Sequences,2100.0,2600.0
Corynebacterium_diphtheriae,Genome_Size,2300000.0,2600000.0
Corynebacterium_pseudodiphtheriticum,N50,105000.0,
Corynebacterium_pseudodiphtheriticum,no_of_contigs,,80.0
Corynebacterium_pseudodiphtheriticum,GC_Content,55.0,56.0
Corynebacterium_pseudodiphtheriticum,Completeness,99.0,
Corynebacterium_pseudodiphtheriticum,Contamination,,1.0
Corynebacterium_pseudodiphtheriticum,Total_Coding_Sequences,2000.0,2300.0
Corynebacterium_pseudodiphtheriticum,Genome_Size,2200000.0,2500000.0
Corynebacterium_ulcerans,N50,139000.0,
Corynebacterium_ulcerans,no_of_contigs,,40.0
Corynebacterium_ulcerans,GC_Content,53.0,54.0
Corynebacterium_ulcerans,Completeness,94.0,
Corynebacterium_ulcerans,Contamination,,1.0
Corynebacterium_ulcerans,Total_Coding_Sequences,2100.0,2500.0
Corynebacterium_ulcerans,Genome_Size,2400000.0,2700000.0
