species,metric,lower_bounds,upper_bounds
Enterobacter_kobei,N50,60000.0,
Enterobacter_kobei,no_of_contigs,,330.0
Enterobacter_kobei,GC_Content,54.0,56.0
Enterobacter_kobei,Completeness,95.0,
Enterobacter_kobei,Contamination,,3.0
Enterobacter_kobei,Total_Coding_Sequences,4200.0,5700.0
Enterobacter_kobei,Genome_Size,4600000.0,5800000.0
Enterobacter_asburiae,N50,29000.0,
Enterobacter_asburiae,no_of_contigs,,470.0
Enterobacter_asburiae,GC_Content,54.0,57.0
Enterobacter_asburiae,Completeness,97.0,
Enterobacter_asburiae,Contamination,,5.0
Enterobacter_asburiae,Total_Coding_Sequences,4100.0,5700.0
Enterobacter_asburiae,Genome_Size,4400000.0,5700000.0
Enterobacter_hormaechei,N50,63000.0,
Enterobacter_hormaechei,no_of_contigs,,270.0
Enterobacter_hormaechei,GC_Content,54.0,56.0
Enterobacter_hormaechei,Completeness,98.0,
Enterobacter_hormaechei,Contamination,,4.0
Enterobacter_hormaechei,Total_Coding_Sequences,4100.0,5700.0
Enterobacter_hormaechei,Genome_Size,4500000.0,5700000.0
Enterobacter_bugandensis,N50,87000.0,
Enterobacter_bugandensis,no_of_contigs,,180.0
Enterobacter_bugandensis,GC_Content,55.0,57.0
Enterobacter_bugandensis,Completeness,100.0,
Enterobacter_bugandensis,Contamination,,1.0
Enterobacter_bugandensis,Total_Coding_Sequences,4200.0,5200.0
Enterobacter_bugandensis,Genome_Size,4500000.0,5400000.0
Enterobacter_ludwigii,N50,80000.0,
Enterobacter_ludwigii,no_of_contigs,,200.0
Enterobacter_ludwigii,GC_Content,53.0,55.0
Enterobacter_ludwigii,Completeness,95.0,
Enterobacter_ludwigii,Contamination,,2.0
Enterobacter_ludwigii,Total_Coding_Sequences,4300.0,5700.0
Enterobacter_ludwigii,Genome_Size,4600000.0,5800000.0
Enterobacter_roggenkampii,N50,46000.0,
Enterobacter_roggenkampii,no_of_contigs,,590.0
Enterobacter_roggenkampii,GC_Content,55.0,57.0
Enterobacter_roggenkampii,Completeness,95.0,
Enterobacter_roggenkampii,Contamination,,2.0
Enterobacter_roggenkampii,Total_Coding_Sequences,4100.0,5700.0
Enterobacter_roggenkampii,Genome_Size,4500000.0,5700000.0
Enterobacter_cloacae,N50,41000.0,
Enterobacter_cloacae,no_of_contigs,,420.0
Enterobacter_cloacae,GC_Content,52.0,57.0
Enterobacter_cloacae,Completeness,91.0,
Enterobacter_cloacae,Contamination,,4.0
Enterobacter_cloacae,Total_Coding_Sequences,4300.0,5900.0
Enterobacter_cloacae,Genome_Size,4600000.0,5800000.0
