species,metric,lower_bounds,upper_bounds
Klebsiella_ornithinolytica,N50,83000.0,
Klebsiella_ornithinolytica,no_of_contigs,,350.0
Klebsiella_ornithinolytica,GC_Content,54.0,58.0
Klebsiella_ornithinolytica,Completeness,96.0,
Klebsiella_ornithinolytica,Contamination,,4.0
Klebsiella_ornithinolytica,Total_Coding_Sequences,4800.0,6300.0
Klebsiella_ornithinolytica,Genome_Size,5300000.0,6600000.0
Klebsiella_variicola,N50,67000.0,
Klebsiella_variicola,no_of_contigs,,350.0
Klebsiella_variicola,GC_Content,56.0,58.0
Klebsiella_variicola,Completeness,98.0,
Klebsiella_variicola,Contamination,,3.0
Klebsiella_variicola,Total_Coding_Sequences,4900.0,6500.0
Klebsiella_variicola,Genome_Size,5200000.0,6500000.0
Klebsiella_pneumoniae,N50,54000.0,
Klebsiella_pneumoniae,no_of_contigs,,390.0
Klebsiella_pneumoniae,GC_Content,56.0,59.0
Klebsiella_pneumoniae,Completeness,95.0,
Klebsiella_pneumoniae,Contamination,,5.0
Klebsiella_pneumoniae,Total_Coding_Sequences,4700.0,6500.0
Klebsiella_pneumoniae,Genome_Size,4900000.0,6400000.0
Klebsiella_quasipneumoniae,N50,48000.0,
Klebsiella_quasipneumoniae,no_of_contigs,,400.0
Klebsiella_quasipneumoniae,GC_Content,56.0,59.0
Klebsiella_quasipneumoniae,Completeness,97.0,
Klebsiella_quasipneumoniae,Contamination,,3.0
Klebsiella_quasipneumoniae,Total_Coding_Sequences,4400.0,6300.0
Klebsiella_quasipneumoniae,Genome_Size,4500000.0,6300000.0
Klebsiella_planticola,N50,77000.0,
Klebsiella_planticola,no_of_contigs,,390.0
Klebsiella_planticola,GC_Content,54.0,56.0
Klebsiella_planticola,Completeness,99.0,
Klebsiella_planticola,Contamination,,4.0
Klebsiella_planticola,Total_Coding_Sequences,4900.0,6700.0
Klebsiella_planticola,Genome_Size,5200000.0,6800000.0
Klebsiella_michiganensis,N50,55000.0,
Klebsiella_michiganensis,no_of_contigs,,380.0
Klebsiella_michiganensis,GC_Content,55.0,57.0
Klebsiella_michiganensis,Completeness,95.0,
Klebsiella_michiganensis,Contamination,,4.0
Klebsiella_michiganensis,Total_Coding_Sequences,5300.0,6900.0
Klebsiella_michiganensis,Genome_Size,5700000.0,7000000.0
Klebsiella_oxytoca,N50,68000.0,
Klebsiella_oxytoca,no_of_contigs,,350.0
Klebsiella_oxytoca,GC_Content,54.0,56.0
Klebsiella_oxytoca,Completeness,96.0,
Klebsiella_oxytoca,Contamination,,8.0
Klebsiella_oxytoca,Total_Coding_Sequences,5000.0,6600.0
Klebsiella_oxytoca,Genome_Size,5300000.0,6800000.0
Klebsiella_grimontii,N50,93000.0,
Klebsiella_grimontii,no_of_contigs,,320.0
Klebsiella_grimontii,GC_Content,54.0,57.0
Klebsiella_grimontii,Completeness,97.0,
Klebsiella_grimontii,Contamination,,2.0
Klebsiella_grimontii,Total_Coding_Sequences,5100.0,6700.0
Klebsiella_grimontii,Genome_Size,5600000.0,6800000.0
Klebsiella_aerogenes,N50,75000.0,
Klebsiella_aerogenes,no_of_contigs,,200.0
Klebsiella_aerogenes,GC_Content,54.0,56.0
Klebsiella_aerogenes,Completeness,90.0,
Klebsiella_aerogenes,Contamination,,10.0
Klebsiella_aerogenes,Total_Coding_Sequences,4500.0,6000.0
Klebsiella_aerogenes,Genome_Size,4900000.0,6000000.0
