species,metric,lower_bounds,upper_bounds
Lactobacillus_paragasseri,N50,41000.0,
Lactobacillus_paragasseri,no_of_contigs,,160.0
Lactobacillus_paragasseri,GC_Content,34.0,36.0
Lactobacillus_paragasseri,Completeness,97.0,
Lactobacillus_paragasseri,Contamination,,1.0
Lactobacillus_paragasseri,Total_Coding_Sequences,1700.0,2200.0
Lactobacillus_paragasseri,Genome_Size,1800000.0,2200000.0
Lactobacillus_johnsonii,N50,31000.0,
Lactobacillus_johnsonii,no_of_contigs,,160.0
Lactobacillus_johnsonii,GC_Content,34.0,36.0
Lactobacillus_johnsonii,Completeness,90.0,
Lactobacillus_johnsonii,Contamination,,6.0
Lactobacillus_johnsonii,Total_Coding_Sequences,1700.0,2300.0
Lactobacillus_johnsonii,Genome_Size,1700000.0,2300000.0
Lactobacillus_acidophilus,N50,115000.0,
Lactobacillus_acidophilus,no_of_contigs,,60.0
Lactobacillus_acidophilus,GC_Content,34.0,35.0
Lactobacillus_acidophilus,Completeness,92.0,
Lactobacillus_acidophilus,Contamination,,2.0
Lactobacillus_acidophilus,Total_Coding_Sequences,1800.0,2100.0
Lactobacillus_acidophilus,Genome_Size,1900000.0,2100000.0
Lactobacillus_gasseri,N50,44000.0,
Lactobacillus_gasseri,no_of_contigs,,150.0
Lactobacillus_gasseri,GC_Content,34.0,36.0
Lactobacillus_gasseri,Completeness,91.0,
Lactobacillus_gasseri,Contamination,,5.0
Lactobacillus_gasseri,Total_Coding_Sequences,1600.0,2300.0
Lactobacillus_gasseri,Genome_Size,1700000.0,2200000.0
Lactobacillus_crispatus,N50,10000.0,
Lactobacillus_crispatus,no_of_contigs,,450.0
Lactobacillus_crispatus,GC_Content,36.0,38.0
Lactobacillus_crispatus,Completeness,93.0,
Lactobacillus_crispatus,Contamination,,9.0
Lactobacillus_crispatus,Total_Coding_Sequences,1800.0,2900.0
Lactobacillus_crispatus,Genome_Size,1900000.0,2900000.0
