species,metric,lower_bounds,upper_bounds
Legionella_pneumophila,N50,48000.0,
Legionella_pneumophila,no_of_contigs,,230.0
Legionella_pneumophila,GC_Content,38.0,39.0
Legionella_pneumophila,Completeness,96.0,
Legionella_pneumophila,Contamination,,3.0
Legionella_pneumophila,Total_Coding_Sequences,2800.0,3500.0
Legionella_pneumophila,Genome_Size,3200000.0,3800000.0
Legionella_longbeachae,N50,32000.0,
Legionella_longbeachae,no_of_contigs,,260.0
Legionella_longbeachae,GC_Content,37.0,38.0
Legionella_longbeachae,Completeness,96.0,
Legionella_longbeachae,Contamination,,8.0
Legionella_longbeachae,Total_Coding_Sequences,3400.0,3900.0
Legionella_longbeachae,Genome_Size,3900000.0,4400000.0
