species,metric,lower_bounds,upper_bounds
Limosilactobacillus_reuteri,N50,15000.0,
Limosilactobacillus_reuteri,no_of_contigs,,380.0
Limosilactobacillus_reuteri,GC_Content,38.0,40.0
Limosilactobacillus_reuteri,Completeness,91.0,
Limosilactobacillus_reuteri,Contamination,,5.0
Limosilactobacillus_reuteri,Total_Coding_Sequences,1700.0,2800.0
Limosilactobacillus_reuteri,Genome_Size,1800000.0,2700000.0
Limosilactobacillus_fermentum,N50,25000.0,
Limosilactobacillus_fermentum,no_of_contigs,,360.0
Limosilactobacillus_fermentum,GC_Content,50.0,53.0
Limosilactobacillus_fermentum,Completeness,85.0,
Limosilactobacillus_fermentum,Contamination,,11.0
Limosilactobacillus_fermentum,Total_Coding_Sequences,1900.0,2500.0
Limosilactobacillus_fermentum,Genome_Size,1800000.0,2400000.0
Limosilactobacillus_mucosae,N50,70000.0,
Limosilactobacillus_mucosae,no_of_contigs,,110.0
Limosilactobacillus_mucosae,GC_Content,46.0,47.0
Limosilactobacillus_mucosae,Completeness,97.0,
Limosilactobacillus_mucosae,Contamination,,1.0
Limosilactobacillus_mucosae,Total_Coding_Sequences,1700.0,2400.0
Limosilactobacillus_mucosae,Genome_Size,1800000.0,2500000.0
