species,metric,lower_bounds,upper_bounds
Moraxella_catarrhalis,N50,134000.0,
Moraxella_catarrhalis,no_of_contigs,,70.0
Moraxella_catarrhalis,GC_Content,41.0,42.0
Moraxella_catarrhalis,Completeness,99.0,
Moraxella_catarrhalis,Contamination,,1.0
Moraxella_catarrhalis,Total_Coding_Sequences,1600.0,2000.0
Moraxella_catarrhalis,Genome_Size,1800000.0,2100000.0
Moraxella_bovoculi,N50,55000.0,
Moraxella_bovoculi,no_of_contigs,,110.0
Moraxella_bovoculi,GC_Content,45.0,46.0
Moraxella_bovoculi,Completeness,96.0,
Moraxella_bovoculi,Contamination,,2.0
Moraxella_bovoculi,Total_Coding_Sequences,1800.0,2500.0
Moraxella_bovoculi,Genome_Size,1900000.0,2500000.0
