species,metric,lower_bounds,upper_bounds
Neisseria_meningitidis,N50,18000.0,
Neisseria_meningitidis,no_of_contigs,,310.0
Neisseria_meningitidis,GC_Content,51.0,53.0
Neisseria_meningitidis,Completeness,98.0,
Neisseria_meningitidis,Contamination,,3.0
Neisseria_meningitidis,Total_Coding_Sequences,1900.0,2500.0
Neisseria_meningitidis,Genome_Size,2000000.0,2400000.0
Neisseria_lactamica,N50,59000.0,
Neisseria_lactamica,no_of_contigs,,120.0
Neisseria_lactamica,GC_Content,51.0,53.0
Neisseria_lactamica,Completeness,100.0,
Neisseria_lactamica,Contamination,,1.0
Neisseria_lactamica,Total_Coding_Sequences,1900.0,2300.0
Neisseria_lactamica,Genome_Size,2000000.0,2300000.0
Neisseria_gonorrhoeae,N50,28000.0,
Neisseria_gonorrhoeae,no_of_contigs,,230.0
Neisseria_gonorrhoeae,GC_Content,52.0,53.0
Neisseria_gonorrhoeae,Completeness,98.0,
Neisseria_gonorrhoeae,Contamination,,3.0
Neisseria_gonorrhoeae,Total_Coding_Sequences,2000.0,2500.0
Neisseria_gonorrhoeae,Genome_Size,2000000.0,2400000.0
