species,metric,lower_bounds,upper_bounds
Parabacteroides_merdae,N50,42000.0,
Parabacteroides_merdae,no_of_contigs,,320.0
Parabacteroides_merdae,GC_Content,44.0,46.0
Parabacteroides_merdae,Completeness,94.0,
Parabacteroides_merdae,Contamination,,7.0
Parabacteroides_merdae,Total_Coding_Sequences,3500.0,4800.0
Parabacteroides_merdae,Genome_Size,4200000.0,5300000.0
Parabacteroides_goldsteinii,N50,35000.0,
Parabacteroides_goldsteinii,no_of_contigs,,610.0
Parabacteroides_goldsteinii,GC_Content,43.0,44.0
Parabacteroides_goldsteinii,Completeness,96.0,
Parabacteroides_goldsteinii,Contamination,,5.0
Parabacteroides_goldsteinii,Total_Coding_Sequences,5000.0,6300.0
Parabacteroides_goldsteinii,Genome_Size,6300000.0,7600000.0
Parabacteroides_distasonis,N50,28000.0,
Parabacteroides_distasonis,no_of_contigs,,410.0
Parabacteroides_distasonis,GC_Content,44.0,46.0
Parabacteroides_distasonis,Completeness,91.0,
Parabacteroides_distasonis,Contamination,,5.0
Parabacteroides_distasonis,Total_Coding_Sequences,3900.0,5000.0
Parabacteroides_distasonis,Genome_Size,4700000.0,5700000.0
