species,metric,lower_bounds,upper_bounds
Staphylococcus_pseudintermedius,N50,32000.0,
Staphylococcus_pseudintermedius,no_of_contigs,,220.0
Staphylococcus_pseudintermedius,GC_Content,37.0,38.0
Staphylococcus_pseudintermedius,Completeness,92.0,
Staphylococcus_pseudintermedius,Contamination,,5.0
Staphylococcus_pseudintermedius,Total_Coding_Sequences,2200.0,2900.0
Staphylococcus_pseudintermedius,Genome_Size,2400000.0,2900000.0
Staphylococcus_lugdunensis,N50,83000.0,
Staphylococcus_lugdunensis,no_of_contigs,,80.0
Staphylococcus_lugdunensis,GC_Content,33.0,34.0
Staphylococcus_lugdunensis,Completeness,96.0,
Staphylococcus_lugdunensis,Contamination,,3.0
Staphylococcus_lugdunensis,Total_Coding_Sequences,2300.0,2800.0
Staphylococcus_lugdunensis,Genome_Size,2400000.0,2900000.0
Staphylococcus_saprophyticus,N50,67000.0,
Staphylococcus_saprophyticus,no_of_contigs,,120.0
Staphylococcus_saprophyticus,GC_Content,32.0,34.0
Staphylococcus_saprophyticus,Completeness,97.0,
Staphylococcus_saprophyticus,Contamination,,1.0
Staphylococcus_saprophyticus,Total_Coding_Sequences,2400.0,2800.0
Staphylococcus_saprophyticus,Genome_Size,2400000.0,2800000.0
Staphylococcus_epidermidis,N50,11000.0,
Staphylococcus_epidermidis,no_of_contigs,,440.0
Staphylococcus_epidermidis,GC_Content,31.0,33.0
Staphylococcus_epidermidis,Completeness,97.0,
Staphylococcus_epidermidis,Contamination,,2.0
Staphylococcus_epidermidis,Total_Coding_Sequences,2100.0,2900.0
Staphylococcus_epidermidis,Genome_Size,2300000.0,2900000.0
Staphylococcus_chromogenes,N50,76000.0,
Staphylococcus_chromogenes,no_of_contigs,,110.0
Staphylococcus_chromogenes,GC_Content,36.0,37.0
Staphylococcus_chromogenes,Completeness,98.0,
Staphylococcus_chromogenes,Contamination,,2.0
Staphylococcus_chromogenes,Total_Coding_Sequences,2100.0,2500.0
Staphylococcus_chromogenes,Genome_Size,2200000.0,2500000.0
Staphylococcus_aureus,N50,26000.0,
Staphylococcus_aureus,no_of_contigs,,280.0
Staphylococcus_aureus,GC_Content,32.0,34.0
Staphylococcus_aureus,Completeness,96.0,
Staphylococcus_aureus,Contamination,,4.0
Staphylococcus_aureus,Total_Coding_Sequences,2400.0,3400.0
Staphylococcus_aureus,Genome_Size,2600000.0,3300000.0
Staphylococcus_argenteus,N50,31000.0,
Staphylococcus_argenteus,no_of_contigs,,240.0
Staphylococcus_argenteus,GC_Content,32.0,33.0
Staphylococcus_argenteus,Completeness,99.0,
Staphylococcus_argenteus,Contamination,,1.0
Staphylococcus_argenteus,Total_Coding_Sequences,2400.0,2900.0
Staphylococcus_argenteus,Genome_Size,2600000.0,2900000.0
Staphylococcus_simulans,N50,17000.0,
Staphylococcus_simulans,no_of_contigs,,340.0
Staphylococcus_simulans,GC_Content,35.0,37.0
Staphylococcus_simulans,Completeness,99.0,
Staphylococcus_simulans,Contamination,,2.0
Staphylococcus_simulans,Total_Coding_Sequences,2300.0,2800.0
Staphylococcus_simulans,Genome_Size,2500000.0,2900000.0
Staphylococcus_haemolyticus,N50,19000.0,
Staphylococcus_haemolyticus,no_of_contigs,,320.0
Staphylococcus_haemolyticus,GC_Content,32.0,34.0
Staphylococcus_haemolyticus,Completeness,96.0,
Staphylococcus_haemolyticus,Contamination,,2.0
Staphylococcus_haemolyticus,Total_Coding_Sequences,2300.0,2800.0
Staphylococcus_haemolyticus,Genome_Size,2300000.0,2700000.0
Staphylococcus_warneri,N50,25000.0,
Staphylococcus_warneri,no_of_contigs,,200.0
Staphylococcus_warneri,GC_Content,32.0,33.0
Staphylococcus_warneri,Completeness,97.0,
Staphylococcus_warneri,Contamination,,1.0
Staphylococcus_warneri,Total_Coding_Sequences,2200.0,2800.0
Staphylococcus_warneri,Genome_Size,2300000.0,2800000.0
Staphylococcus_xylosus,N50,31000.0,
Staphylococcus_xylosus,no_of_contigs,,230.0
Staphylococcus_xylosus,GC_Content,32.0,33.0
Staphylococcus_xylosus,Completeness,98.0,
Staphylococcus_xylosus,Contamination,,2.0
Staphylococcus_xylosus,Total_Coding_Sequences,2500.0,2900.0
Staphylococcus_xylosus,Genome_Size,2700000.0,3000000.0
Staphylococcus_equorum,N50,244000.0,
Staphylococcus_equorum,no_of_contigs,,60.0
Staphylococcus_equorum,GC_Content,32.0,34.0
Staphylococcus_equorum,Completeness,97.0,
Staphylococcus_equorum,Contamination,,2.0
Staphylococcus_equorum,Total_Coding_Sequences,2500.0,3000.0
Staphylococcus_equorum,Genome_Size,2600000.0,3000000.0
Staphylococcus_capitis,N50,39000.0,
Staphylococcus_capitis,no_of_contigs,,150.0
Staphylococcus_capitis,GC_Content,32.0,34.0
Staphylococcus_capitis,Completeness,98.0,
Staphylococcus_capitis,Contamination,,1.0
Staphylococcus_capitis,Total_Coding_Sequences,2200.0,2700.0
Staphylococcus_capitis,Genome_Size,2300000.0,2800000.0
Staphylococcus_hominis,N50,5000.0,
Staphylococcus_hominis,no_of_contigs,,1500.0
Staphylococcus_hominis,GC_Content,31.0,34.0
Staphylococcus_hominis,Completeness,87.0,
Staphylococcus_hominis,Contamination,,7.0
Staphylococcus_hominis,Total_Coding_Sequences,2000.0,2900.0
Staphylococcus_hominis,Genome_Size,2000000.0,2600000.0
