species,original_count,filtered_out_count,final_count
Staphylococcus_aureus,121428,4269,117159
Staphylococcus_epidermidis,6411,250,6161
Staphylococcus_pseudintermedius,5492,226,5266
Staphylococcus_haemolyticus,1674,99,1575
Staphylococcus_capitis,1612,67,1545
Staphylococcus_saprophyticus,1193,58,1135
Staphylococcus_argenteus,673,45,628
Staphylococcus_hominis,388,28,360
Staphylococcus_simulans,337,11,326
Staphylococcus_chromogenes,331,12,319
Staphylococcus_xylosus,305,16,289
Staphylococcus_warneri,183,11,172
Staphylococcus_lugdunensis,137,7,130
Staphylococcus_equorum,127,8,119
Staphylococcus_coagulans,103,9,94
