species,metric,lower_bounds,upper_bounds
Stenotrophomonas_sepilia,N50,45000.0,
Stenotrophomonas_sepilia,no_of_contigs,,200.0
Stenotrophomonas_sepilia,GC_Content,66.0,67.0
Stenotrophomonas_sepilia,Completeness,100.0,
Stenotrophomonas_sepilia,Contamination,,2.0
Stenotrophomonas_sepilia,Total_Coding_Sequences,3800.0,4400.0
Stenotrophomonas_sepilia,Genome_Size,4200000.0,4800000.0
Stenotrophomonas_pavanii,N50,36000.0,
Stenotrophomonas_pavanii,no_of_contigs,,250.0
Stenotrophomonas_pavanii,GC_Content,66.0,68.0
Stenotrophomonas_pavanii,Completeness,99.0,
Stenotrophomonas_pavanii,Contamination,,2.0
Stenotrophomonas_pavanii,Total_Coding_Sequences,3800.0,4600.0
Stenotrophomonas_pavanii,Genome_Size,4300000.0,4900000.0
Stenotrophomonas_geniculata,N50,31000.0,
Stenotrophomonas_geniculata,no_of_contigs,,260.0
Stenotrophomonas_geniculata,GC_Content,65.0,67.0
Stenotrophomonas_geniculata,Completeness,99.0,
Stenotrophomonas_geniculata,Contamination,,3.0
Stenotrophomonas_geniculata,Total_Coding_Sequences,3900.0,5000.0
Stenotrophomonas_geniculata,Genome_Size,4400000.0,5300000.0
Stenotrophomonas_maltophilia,N50,23000.0,
Stenotrophomonas_maltophilia,no_of_contigs,,410.0
Stenotrophomonas_maltophilia,GC_Content,65.0,68.0
Stenotrophomonas_maltophilia,Completeness,95.0,
Stenotrophomonas_maltophilia,Contamination,,5.0
Stenotrophomonas_maltophilia,Total_Coding_Sequences,3700.0,4900.0
Stenotrophomonas_maltophilia,Genome_Size,4100000.0,5300000.0
