species,original_count,filtered_out_count,final_count
Streptococcus_pneumoniae,121054,3349,117705
Streptococcus_pyogenes,45861,1751,44110
Streptococcus_agalactiae,37375,1109,36266
Streptococcus_suis,5462,120,5342
Streptococcus_equi,1990,77,1913
Streptococcus_dysgalactiae,1603,64,1539
Streptococcus_uberis,1534,110,1424
Streptococcus_pseudopneumoniae,863,38,825
Streptococcus_mutans,440,15,425
Streptococcus_mitis,400,18,382
Streptococcus_oralis,286,12,274
Streptococcus_anginosus,232,9,223
Streptococcus_salivarius,181,5,176
Streptococcus_parasanguinis,134,9,125
Streptococcus_canis,132,16,116
Streptococcus_gordonii,102,35,67
