species,metric,lower_bounds,upper_bounds
Streptomyces_anthocyanicus,N50,32000.0,
Streptomyces_anthocyanicus,no_of_contigs,,570.0
Streptomyces_anthocyanicus,GC_Content,71.0,73.0
Streptomyces_anthocyanicus,Completeness,100.0,
Streptomyces_anthocyanicus,Contamination,,1.0
Streptomyces_anthocyanicus,Total_Coding_Sequences,7300.0,8400.0
Streptomyces_anthocyanicus,Genome_Size,8100000.0,9100000.0
Streptomyces_albidoflavus,N50,6000.0,
Streptomyces_albidoflavus,no_of_contigs,,1550.0
Streptomyces_albidoflavus,GC_Content,72.0,74.0
Streptomyces_albidoflavus,Completeness,96.0,
Streptomyces_albidoflavus,Contamination,,2.0
Streptomyces_albidoflavus,Total_Coding_Sequences,5700.0,7400.0
Streptomyces_albidoflavus,Genome_Size,6300000.0,7800000.0
