species,metric,lower_bounds,upper_bounds
Vibrio_vulnificus,N50,64000.0,
Vibrio_vulnificus,no_of_contigs,,310.0
Vibrio_vulnificus,GC_Content,45.0,47.0
Vibrio_vulnificus,Completeness,98.0,
Vibrio_vulnificus,Contamination,,6.0
Vibrio_vulnificus,Total_Coding_Sequences,4200.0,5800.0
Vibrio_vulnificus,Genome_Size,4700000.0,6100000.0
Vibrio_parahaemolyticus,N50,93000.0,
Vibrio_parahaemolyticus,no_of_contigs,,180.0
Vibrio_parahaemolyticus,GC_Content,44.0,46.0
Vibrio_parahaemolyticus,Completeness,96.0,
Vibrio_parahaemolyticus,Contamination,,7.0
Vibrio_parahaemolyticus,Total_Coding_Sequences,4400.0,5900.0
Vibrio_parahaemolyticus,Genome_Size,4900000.0,6100000.0
Vibrio_cholerae,N50,77000.0,
Vibrio_cholerae,no_of_contigs,,230.0
Vibrio_cholerae,GC_Content,47.0,48.0
Vibrio_cholerae,Completeness,96.0,
Vibrio_cholerae,Contamination,,5.0
Vibrio_cholerae,Total_Coding_Sequences,3400.0,4200.0
Vibrio_cholerae,Genome_Size,3800000.0,4500000.0
