metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,MY_LOWER,MY_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,265870.23121387284,103243.65741945304,242643.0,187517.0,332742.0,145225.0,37326.0,672690.0,52144.68,513158.6799999991,52144.68,513158.68,Xanthomonas_euvesicatoria,865,0,,,,,,,,,,,,,,
number,non-normal,68.82196531791908,37.75066638249577,59.0,45.0,75.0,30.0,34.0,300.0,35.0,267.47999999999945,35.0,267.48,Xanthomonas_euvesicatoria,865,0,,,,,,,,,,,,,,
longest,non-normal,697055.3572254336,232140.8742287655,686367.0,495664.0,836025.0,340361.0,146368.0,1369552.0,184739.52,1330278.44,184739.52,1330278.44,Xanthomonas_euvesicatoria,865,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.647848263583815,0.0010478783529886,0.6478010000000001,0.646961,0.648852,0.0018909999999999,0.644864,0.650694,0.6452871600000001,0.65026448,0.6444,0.6504,Xanthomonas_euvesicatoria,865,17,normal,0.6473811176470587,0.0018321419121233,0.647758,0.645591,0.649068,0.0034769999999999,0.644365,0.65035,0.64441868,0.6503144,0.37245834750085,0.0138814334942117,0.0007765417885072
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,96.35,100.0,Xanthomonas_euvesicatoria,865,17,non-normal,99.33,0.8433546459370046,99.67,99.17,99.69,0.519999999999996,96.35,99.89,96.5092,99.8892,1.0,7.022959138408106e-36,0.67
Contamination,normal,0.5033294797687862,0.2867171394121344,0.51,0.2,0.75,0.55,0.02,1.72,0.03,1.2567999999999997,0.03,2.69,Xanthomonas_euvesicatoria,865,17,non-normal,0.5852941176470589,0.7107255418568765,0.63,0.03,0.76,0.73,0.03,2.69,0.03,2.6228,0.4093165589935396,0.0048747063020621,0.2956701802108126
Total_Coding_Sequences,non-normal,4419.560693641619,79.96463859799815,4412.0,4392.0,4464.0,72.0,4067.0,4750.0,4108.96,4662.799999999999,4108.96,4794.0,Xanthomonas_euvesicatoria,865,17,normal,4512.705882352941,180.5673296962472,4534.0,4345.0,4651.0,306.0,4218.0,4794.0,4219.12,4790.64,0.4692961577694661,0.0006923021527249,129.74144848690923
Genome_Size,non-normal,5176862.989595376,70485.87677374028,5171275.0,5151018.0,5223465.0,72447.0,4890084.0,5418574.0,4930725.76,5370583.64,4930725.76,5500184.0,Xanthomonas_euvesicatoria,865,17,normal,5225322.294117647,171068.40236610023,5270109.0,5058119.0,5354628.0,296509.0,4963467.0,5500184.0,4963787.16,5493781.44,0.4658279496769806,0.0007817003669196,112636.90955457329
N50,non-normal,189730.21732716804,116723.87499479348,157514.0,113285.0,233335.0,120050.0,20315.0,820955.0,36105.0,609839.25,36105.0,609839.25,Streptococcus_agalactiae,35251,0,,,,,,,,,,,,,,
number,non-normal,41.38447136251454,21.94097229713176,35.0,27.0,47.0,20.0,12.0,232.0,17.0,134.0,17.0,134.0,Streptococcus_agalactiae,35251,0,,,,,,,,,,,,,,
