species,metric,lower_bounds,upper_bounds
Xanthomonas_euvesicatoria,N50,52000.0,
Xanthomonas_euvesicatoria,no_of_contigs,,270
Xanthomonas_euvesicatoria,GC_Content,64,66
Xanthomonas_euvesicatoria,Completeness,96.0,
Xanthomonas_euvesicatoria,Contamination,,3
Xanthomonas_euvesicatoria,Total_Coding_Sequences,4100,4800
Xanthomonas_euvesicatoria,Genome_Size,4900000,5600000
Streptococcus_agalactiae,N50,36000.0,
Streptococcus_agalactiae,no_of_contigs,,140
Streptococcus_agalactiae,GC_Content,35,37
Streptococcus_agalactiae,Completeness,95.0,
Streptococcus_agalactiae,Contamination,,3
Streptococcus_agalactiae,Total_Coding_Sequences,1900,2400
Streptococcus_agalactiae,Genome_Size,1900000,2400000
Citrobacter_koseri,N50,80000.0,
Citrobacter_koseri,no_of_contigs,,180
Citrobacter_koseri,GC_Content,53,54
Citrobacter_koseri,Completeness,98.0,
Citrobacter_koseri,Contamination,,2
Citrobacter_koseri,Total_Coding_Sequences,4100,5200
Citrobacter_koseri,Genome_Size,4500000,5300000
Bacillus_licheniformis,N50,84000.0,
Bacillus_licheniformis,no_of_contigs,,170
Bacillus_licheniformis,GC_Content,45,47
Bacillus_licheniformis,Completeness,92.0,
Bacillus_licheniformis,Contamination,,6
Bacillus_licheniformis,Total_Coding_Sequences,4100,5100
Bacillus_licheniformis,Genome_Size,4000000,4900000
Deinococcus_radiodurans,N50,14000.0,
Deinococcus_radiodurans,no_of_contigs,,470
Deinococcus_radiodurans,GC_Content,66,67
Deinococcus_radiodurans,Completeness,91.0,
Deinococcus_radiodurans,Contamination,,2
Deinococcus_radiodurans,Total_Coding_Sequences,3000,3500
Deinococcus_radiodurans,Genome_Size,3100000,3400000
Streptococcus_equi,N50,24000.0,
Streptococcus_equi,no_of_contigs,,210
Streptococcus_equi,GC_Content,40,42
Streptococcus_equi,Completeness,97.0,
Streptococcus_equi,Contamination,,2
Streptococcus_equi,Total_Coding_Sequences,1800,2300
Streptococcus_equi,Genome_Size,1900000,2300000
Xanthomonas_arboricola,N50,53000.0,
Xanthomonas_arboricola,no_of_contigs,,230
Xanthomonas_arboricola,GC_Content,65,66
Xanthomonas_arboricola,Completeness,97.0,
Xanthomonas_arboricola,Contamination,,3
Xanthomonas_arboricola,Total_Coding_Sequences,3900,4700
Xanthomonas_arboricola,Genome_Size,4700000,5400000
Legionella_pneumophila,N50,48000.0,
Legionella_pneumophila,no_of_contigs,,230
Legionella_pneumophila,GC_Content,38,39
Legionella_pneumophila,Completeness,95.0,
Legionella_pneumophila,Contamination,,3
Legionella_pneumophila,Total_Coding_Sequences,2800,3500
Legionella_pneumophila,Genome_Size,3200000,3800000
Staphylococcus_pseudintermedius,N50,32000.0,
Staphylococcus_pseudintermedius,no_of_contigs,,220
Staphylococcus_pseudintermedius,GC_Content,37,38
Staphylococcus_pseudintermedius,Completeness,91.0,
Staphylococcus_pseudintermedius,Contamination,,5
Staphylococcus_pseudintermedius,Total_Coding_Sequences,2200,2900
Staphylococcus_pseudintermedius,Genome_Size,2400000,2900000
Erysipelothrix_rhusiopathiae,N50,22000.0,
Erysipelothrix_rhusiopathiae,no_of_contigs,,140
Erysipelothrix_rhusiopathiae,GC_Content,36,37
Erysipelothrix_rhusiopathiae,Completeness,89.0,
Erysipelothrix_rhusiopathiae,Contamination,,4
Erysipelothrix_rhusiopathiae,Total_Coding_Sequences,1600,2000
Erysipelothrix_rhusiopathiae,Genome_Size,1700000,2000000
Francisella_tularensis,N50,19000.0,
Francisella_tularensis,no_of_contigs,,180
Francisella_tularensis,GC_Content,32,33
Francisella_tularensis,Completeness,92.0,
Francisella_tularensis,Contamination,,4
Francisella_tularensis,Total_Coding_Sequences,1800,2100
Francisella_tularensis,Genome_Size,1700000,2100000
Bacillus_subtilis,N50,23000.0,
Bacillus_subtilis,no_of_contigs,,470
Bacillus_subtilis,GC_Content,42,45
Bacillus_subtilis,Completeness,92.0,
Bacillus_subtilis,Contamination,,12
Bacillus_subtilis,Total_Coding_Sequences,3800,5000
Bacillus_subtilis,Genome_Size,3600000,4600000
Chlamydia_trachomatis,N50,2000.0,
Chlamydia_trachomatis,no_of_contigs,,710
Chlamydia_trachomatis,GC_Content,41,43
