species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Bacillus altitudinis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus altitudinis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus altitudinis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus anthracis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus anthracis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus anthracis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus bombysepticus,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus bombysepticus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus bombysepticus,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus cereus,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus cereus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus cereus,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus licheniformis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus licheniformis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus licheniformis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus mobilis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus mobilis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus mobilis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus mycoides,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus mycoides,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus mycoides,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus paralicheniformis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus paralicheniformis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus paralicheniformis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus paranthracis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus paranthracis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus paranthracis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus pumilus,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus pumilus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus pumilus,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus safensis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus safensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus safensis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus spizizenii,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus spizizenii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus spizizenii,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus subtilis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus subtilis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus subtilis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus thuringiensis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus thuringiensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus thuringiensis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus toyonensis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus toyonensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus toyonensis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus velezensis,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus velezensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus velezensis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Bacillus wiedmannii,enterobase-v2.3,Genome_Size,3000000,6000000,,,external,,3000000,6000000,,,,,,
Bacillus wiedmannii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Bacillus wiedmannii,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Clostridium beijerinckii,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium beijerinckii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium beijerinckii,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium botulinum,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium botulinum,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium botulinum,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium cagae,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium cagae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium cagae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium difficile,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium difficile,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium difficile,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
