species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Achromobacter xylosoxidans,qualibact-v1.0,Genome_Size,6200000,7400000,6300000,7000000,computed,warn,6200000,7400000,6251810.05,7359146,6251810.05,7078655.35,6285835.82,7320364.145
Achromobacter xylosoxidans,qualibact-v1.0,GC_Content,65.77,68.27,67.24,67.91,computed,warn,65.77,68.27,65.779,68.2657,67.214355,67.9619925,65.81153499999999,68.208649
Achromobacter xylosoxidans,qualibact-v1.0,Total_Coding_Sequences,5600,6900,5700,6500,computed,warn,5600,6900,5698.92,6870,5698.925,6592.374999999999,5778.585,6833.28
Achromobacter xylosoxidans,qualibact-v1.0,Completeness_Specific,91,,100,100,computed,warn,91,,91.1,100,99.99,100,91.33624999999999,99.04935
Achromobacter xylosoxidans,qualibact-v1.0,Contamination,,10,0.01,2,computed,warn,,10,0.01,9.24,0.01,2.6072499999999996,1.1979,9.090149999999998
Achromobacter xylosoxidans,qualibact-v1.0,N50,33000,,39000,982625.02,computed,warn,33000,,33326.78,982625.02,33326.775,982625.0249999996,,
Achromobacter xylosoxidans,qualibact-v1.0,no_of_contigs,,450,21.42,350,computed,warn,,450,21.42,447.22,21.425,447.22499999999974,,
Achromobacter xylosoxidans,qualibact-v1.0,longest,,,150075.98,2708406.9,computed,warn,,,150075.98,2708406.9,150075.975,2708406.8999999966,,
Achromobacter xylosoxidans,qualibact-v1.1,Genome_Size,5900000,7400000,6000000,7000000,computed,warn,5900000,7400000,5940074.3,7359146,5940074.3,6968810.03,6285835.82,7320364.145
Achromobacter xylosoxidans,qualibact-v1.1,GC_Content,65,69,67,68,computed,warn,65,69,65.779,68.2657,67,68,65.81153499999999,68.208649
Achromobacter xylosoxidans,qualibact-v1.1,Total_Coding_Sequences,5300,6900,5400,6400,computed,warn,5300,6900,5389.55,6870,5389.55,6417.84,5778.585,6833.28
Achromobacter xylosoxidans,qualibact-v1.1,Completeness_Specific,91,,99,100,computed,warn,91,,91.1,100,98.4383,100,91.33624999999999,99.04935
Achromobacter xylosoxidans,qualibact-v1.1,Contamination,,10,0,2,computed,warn,,10,0,9.24,0,1.6420999999999997,1.1979,9.090149999999998
Achromobacter xylosoxidans,qualibact-v1.1,N50,24000,,33000,1345221.79,computed,warn,24000,,24803.75,1345221.79,24803.75,1345221.7899999998,,
Achromobacter xylosoxidans,qualibact-v1.1,no_of_contigs,,430,13,320,computed,warn,,430,13,422.07,13,422.07,,
Achromobacter xylosoxidans,qualibact-v1.1,longest,,,93312.25,2811238.56,computed,warn,,,93312.25,2811238.56,93312.25,2811238.56,,
Acinetobacter baumannii,qualibact-v1.0,Genome_Size,3600000,4700000,3700000,4200000,computed,info,3600000,4700000,3638126,4613804,3673196.9,4334398.69,3727654.14,4476849.75
Acinetobacter baumannii,qualibact-v1.0,GC_Content,38.68,39.75,38.8,39.17,computed,info,38.68,39.75,38.6896,39.7475,38.758869,39.260708,38.807421,39.33881
Acinetobacter baumannii,qualibact-v1.0,Total_Coding_Sequences,3400,4600,3500,4100,computed,info,3400,4600,3452,4524,3465,4195,3510,4435.719999999999
Acinetobacter baumannii,qualibact-v1.0,Completeness_Specific,96,,99,100,computed,info,96,,96.86,100,99.97,100,97.06490000000001,99.94
Acinetobacter baumannii,qualibact-v1.0,Contamination,,7,0,1,computed,info,,7,0,6.63,0,1.32,0.06,4.243500000000006
Acinetobacter baumannii,qualibact-v1.0,N50,24000,,36000,462404.86,computed,info,24000,,24078.05,462404.86,24078.05,462404.86,,
Acinetobacter baumannii,qualibact-v1.0,no_of_contigs,,380,35,270,computed,info,,380,35,379.77,35,379.77000000000044,,
Acinetobacter baumannii,qualibact-v1.0,longest,,,90339.61,1067728,computed,info,,,90339.61,1067728,90339.61,1067728,,
Acinetobacter baylyi,qualibact-v1.0,Genome_Size,3200000,3900000,3200000,3700000,computed,warn,3200000,3900000,3273777.64,3868785.11,3273777.64,3868785.114999998,3598701.8,3629849.18
Acinetobacter baylyi,qualibact-v1.0,GC_Content,40.13,40.59,40.31,40.44,computed,warn,40.13,40.59,40.1367,40.5801,40.136745499999996,40.580109,40.429793000000004,40.463750000000005
Acinetobacter baylyi,qualibact-v1.0,Total_Coding_Sequences,3000,3700,3000,3400,computed,warn,3000,3700,3002.2,3601.94,3002.205,3601.9399999999982,3357.05,3390.71
Acinetobacter baylyi,qualibact-v1.0,Completeness_Specific,98,,99,100,computed,warn,98,,98.37,100,99.96,100,98.3752,98.89
Acinetobacter baylyi,qualibact-v1.0,Contamination,,1,0.02,1,computed,warn,,1,0.02,0.93,0.02,0.9258999999999998,0.42,0.8556
Acinetobacter baylyi,qualibact-v1.0,N50,20000,,39000,792700,computed,warn,20000,,20271.13,792700,20271.13,792700,,
Acinetobacter baylyi,qualibact-v1.0,no_of_contigs,,370,23,210,computed,warn,,370,23,366.52,23,366.52499999999884,,
Acinetobacter baylyi,qualibact-v1.0,longest,,,100218.2,1422396,computed,warn,,,100218.2,1422396,100218.195,1422396,,
Acinetobacter johnsonii,qualibact-v1.0,Genome_Size,3300000,4200000,3300000,4000000,computed,error,3300000,4200000,3308306.99,4135620,3308306.99,3967272.139999999,3343945.96,4131671.16
Acinetobacter johnsonii,qualibact-v1.0,GC_Content,40.99,41.68,41.07,41.52,computed,error,40.99,41.68,40.9979,41.675,40.997933,41.570482,41.020344,41.660911999999996
Acinetobacter johnsonii,qualibact-v1.0,Total_Coding_Sequences,3200,4300,3200,3900,computed,error,3200,4300,3211.87,4202,3211.87,4073.5799999999995,3236.6,4179.115000000001
Acinetobacter johnsonii,qualibact-v1.0,Completeness_Specific,86,,100,100,computed,error,86,,86.87,100,99.99,100,87.0836,95.79
Acinetobacter johnsonii,qualibact-v1.0,Contamination,,9,0.06,2,computed,error,,9,0.06,8.12,0.0629,1.25,1.0132,8.001199999999999
Acinetobacter johnsonii,qualibact-v1.0,N50,30000,,32000,383596.67,computed,error,30000,,30240.24,383596.67,30240.24,383596.67,,
Acinetobacter johnsonii,qualibact-v1.0,no_of_contigs,,470,24.43,450,computed,error,,470,24.43,460.11,24.43,460.10999999999984,,
Acinetobacter johnsonii,qualibact-v1.0,longest,,,111279.29,825134,computed,error,,,111279.29,825134,111279.29,825134,,
Acinetobacter nosocomialis,qualibact-v1.0,Genome_Size,3700000,4500000,3800000,4400000,computed,warn,3700000,4500000,3768285.8,4428133,3768285.8,4324595.2,3798593.94,4422659.68
Acinetobacter nosocomialis,qualibact-v1.0,GC_Content,38.53,39.03,38.6,38.9,computed,warn,38.53,39.03,38.5399,39.0246,38.53994,39.02462,38.647202,38.899370999999995
Acinetobacter nosocomialis,qualibact-v1.0,Total_Coding_Sequences,3500,4300,3500,4200,computed,warn,3500,4300,3521,4216,3521,4137.2,3595.75,4211.24
