species,metric,lower_bounds,upper_bounds
Achromobacter xylosoxidans,N50,22000,
Achromobacter xylosoxidans,no_of_contigs,,470
Achromobacter xylosoxidans,GC_Content,64,69
Achromobacter xylosoxidans,Completeness_Specific,90,
Achromobacter xylosoxidans,Contamination,,11
Achromobacter xylosoxidans,Total_Coding_Sequences,4800,7600
Achromobacter xylosoxidans,Genome_Size,5300000,8100000
Acinetobacter baumannii,N50,15000,
Acinetobacter baumannii,no_of_contigs,,540
Acinetobacter baumannii,GC_Content,37,41
Acinetobacter baumannii,Completeness_Specific,95,
Acinetobacter baumannii,Contamination,,8
Acinetobacter baumannii,Total_Coding_Sequences,3100,4900
Acinetobacter baumannii,Genome_Size,3200000,5100000
Acinetobacter baylyi,N50,25000,
Acinetobacter baylyi,no_of_contigs,,310
Acinetobacter baylyi,GC_Content,39,42
Acinetobacter baylyi,Completeness_Specific,97,
Acinetobacter baylyi,Contamination,,2
Acinetobacter baylyi,Total_Coding_Sequences,2700,4000
Acinetobacter baylyi,Genome_Size,2900000,4300000
Acinetobacter johnsonii,N50,27000,
Acinetobacter johnsonii,no_of_contigs,,540
Acinetobacter johnsonii,GC_Content,39,43
Acinetobacter johnsonii,Completeness_Specific,85,
Acinetobacter johnsonii,Contamination,,10
Acinetobacter johnsonii,Total_Coding_Sequences,2800,4700
Acinetobacter johnsonii,Genome_Size,2900000,4600000
Acinetobacter nosocomialis,N50,17000,
Acinetobacter nosocomialis,no_of_contigs,,480
Acinetobacter nosocomialis,GC_Content,37,41
Acinetobacter nosocomialis,Completeness_Specific,88,
Acinetobacter nosocomialis,Contamination,,8
Acinetobacter nosocomialis,Total_Coding_Sequences,3100,4700
Acinetobacter nosocomialis,Genome_Size,3300000,4800000
Acinetobacter pittii,N50,23000,
Acinetobacter pittii,no_of_contigs,,390
Acinetobacter pittii,GC_Content,37,41
Acinetobacter pittii,Completeness_Specific,96,
Acinetobacter pittii,Contamination,,3
Acinetobacter pittii,Total_Coding_Sequences,3000,4800
Acinetobacter pittii,Genome_Size,3300000,5000000
Acinetobacter ursingii,N50,30000,
Acinetobacter ursingii,no_of_contigs,,280
Acinetobacter ursingii,GC_Content,38,42
Acinetobacter ursingii,Completeness_Specific,98,
Acinetobacter ursingii,Contamination,,3
Acinetobacter ursingii,Total_Coding_Sequences,2700,4400
Acinetobacter ursingii,Genome_Size,2900000,4700000
Actinobacillus lignieresii,N50,28000,
Actinobacillus lignieresii,no_of_contigs,,180
Actinobacillus lignieresii,GC_Content,40,43
Actinobacillus lignieresii,Completeness_Specific,92,
Actinobacillus lignieresii,Contamination,,2
Actinobacillus lignieresii,Total_Coding_Sequences,1800,2600
Actinobacillus lignieresii,Genome_Size,1900000,2700000
Aerococcus urinae,N50,53000,
Aerococcus urinae,no_of_contigs,,130
Aerococcus urinae,GC_Content,40,44
Aerococcus urinae,Completeness_Specific,96,
Aerococcus urinae,Contamination,,4
Aerococcus urinae,Total_Coding_Sequences,1500,2200
Aerococcus urinae,Genome_Size,1700000,2400000
Aeromonas caviae,N50,21000,
Aeromonas caviae,no_of_contigs,,740
Aeromonas caviae,GC_Content,59,64
Aeromonas caviae,Completeness_Specific,97,
Aeromonas caviae,Contamination,,7
Aeromonas caviae,Total_Coding_Sequences,3400,5700
Aeromonas caviae,Genome_Size,3800000,5900000
Aeromonas dhakensis,N50,55000,
Aeromonas dhakensis,no_of_contigs,,200
Aeromonas dhakensis,GC_Content,59,63
Aeromonas dhakensis,Completeness_Specific,95,
Aeromonas dhakensis,Contamination,,2
Aeromonas dhakensis,Total_Coding_Sequences,3700,5200
Aeromonas dhakensis,Genome_Size,4100000,5600000
Aeromonas hydrophila,N50,24000,
Aeromonas hydrophila,no_of_contigs,,550
Aeromonas hydrophila,GC_Content,59,63
Aeromonas hydrophila,Completeness_Specific,89,
Aeromonas hydrophila,Contamination,,9
Aeromonas hydrophila,Total_Coding_Sequences,3700,5900
Aeromonas hydrophila,Genome_Size,4100000,6200000
Aeromonas salmonicida,N50,23000,
Aeromonas salmonicida,no_of_contigs,,540
Aeromonas salmonicida,GC_Content,57,61
Aeromonas salmonicida,Completeness_Specific,93,
Aeromonas salmonicida,Contamination,,3
Aeromonas salmonicida,Total_Coding_Sequences,3700,5500
Aeromonas salmonicida,Genome_Size,3900000,5800000
Aeromonas veronii,N50,29000,
Aeromonas veronii,no_of_contigs,,590
Aeromonas veronii,GC_Content,57,62
Aeromonas veronii,Completeness_Specific,89,
Aeromonas veronii,Contamination,,12
Aeromonas veronii,Total_Coding_Sequences,3500,5500
Aeromonas veronii,Genome_Size,3800000,5800000
Agrobacterium fabacearum,N50,247000,
Agrobacterium fabacearum,no_of_contigs,,120
Agrobacterium fabacearum,GC_Content,56,62
Agrobacterium fabacearum,Completeness_Specific,87,
Agrobacterium fabacearum,Contamination,,17
Agrobacterium fabacearum,Total_Coding_Sequences,3900,6800
Agrobacterium fabacearum,Genome_Size,4200000,7200000
Agrobacterium pusense,N50,160000,
Agrobacterium pusense,no_of_contigs,,260
Agrobacterium pusense,GC_Content,58,61
Agrobacterium pusense,Completeness_Specific,97,
Agrobacterium pusense,Contamination,,7
Agrobacterium pusense,Total_Coding_Sequences,4200,7000
Agrobacterium pusense,Genome_Size,4400000,7100000
Agrobacterium tumefaciens,N50,145000,
Agrobacterium tumefaciens,no_of_contigs,,140
Agrobacterium tumefaciens,GC_Content,56,62
Agrobacterium tumefaciens,Completeness_Specific,87,
Agrobacterium tumefaciens,Contamination,,17
Agrobacterium tumefaciens,Total_Coding_Sequences,3900,6800
Agrobacterium tumefaciens,Genome_Size,4200000,7200000
Aliarcobacter butzleri,N50,24000,
Aliarcobacter butzleri,no_of_contigs,,210
Aliarcobacter butzleri,GC_Content,25,29
Aliarcobacter butzleri,Completeness_Specific,92,
Aliarcobacter butzleri,Contamination,,11
Aliarcobacter butzleri,Total_Coding_Sequences,1800,2900
Aliarcobacter butzleri,Genome_Size,1800000,2800000
Aliivibrio fischeri,N50,8000,
Aliivibrio fischeri,no_of_contigs,,880
Aliivibrio fischeri,GC_Content,37,40
Aliivibrio fischeri,Completeness_Specific,92,
Aliivibrio fischeri,Contamination,,13
Aliivibrio fischeri,Total_Coding_Sequences,3300,4800
Aliivibrio fischeri,Genome_Size,3600000,5000000
Alistipes onderdonkii,N50,73000,
Alistipes onderdonkii,no_of_contigs,,260
Alistipes onderdonkii,GC_Content,56,60
Alistipes onderdonkii,Completeness_Specific,97,
Alistipes onderdonkii,Contamination,,3
Alistipes onderdonkii,Total_Coding_Sequences,2500,3900
Alistipes onderdonkii,Genome_Size,2900000,4400000
Bacillus altitudinis,N50,137000,
Bacillus altitudinis,no_of_contigs,,90
Bacillus altitudinis,GC_Content,39,43
Bacillus altitudinis,Completeness_Specific,89,
Bacillus altitudinis,Contamination,,2
Bacillus altitudinis,Total_Coding_Sequences,3300,4700
Bacillus altitudinis,Genome_Size,3200000,4400000
Bacillus anthracis,N50,12000,
Bacillus anthracis,no_of_contigs,,830
Bacillus anthracis,GC_Content,34,37
Bacillus anthracis,Completeness_Specific,93,
Bacillus anthracis,Contamination,,5
Bacillus anthracis,Total_Coding_Sequences,4700,6700
Bacillus anthracis,Genome_Size,4600000,6500000
Bacillus bombysepticus,N50,14000,
Bacillus bombysepticus,no_of_contigs,,2590
Bacillus bombysepticus,GC_Content,33,37
Bacillus bombysepticus,Completeness_Specific,98,
Bacillus bombysepticus,Contamination,,2
Bacillus bombysepticus,Total_Coding_Sequences,4700,8500
Bacillus bombysepticus,Genome_Size,4700000,7500000
Bacillus cereus,N50,9000,
Bacillus cereus,no_of_contigs,,1250
Bacillus cereus,GC_Content,33,37
Bacillus cereus,Completeness_Specific,94,
