species,scheme,engine_severity,total_genome_count,non_refseq_count,refseq_count,pass_count,warn_count,fail_count
Achromobacter xylosoxidans,qualibact-v1.1,warn,415,387,28,,,
Acinetobacter baumannii,qualibact-v1.0,info,27262,26247,1015,23828,3230,1103
Acinetobacter baylyi,qualibact-v1.0,warn,245,242,3,228,9,18
Acinetobacter johnsonii,qualibact-v1.0,error,112,87,25,80,14,6
Acinetobacter nosocomialis,qualibact-v1.0,warn,356,321,35,297,30,19
Acinetobacter pittii,qualibact-v1.0,info,674,592,82,550,65,24
Acinetobacter radioresistens,qualibact-v1.0,error,97,90,7,84,10,6
Acinetobacter ursingii,qualibact-v1.0,warn,115,107,8,93,17,9
Actinobacillus lignieresii,qualibact-v1.0,warn,482,481,1,445,36,32
Aerococcus urinae,qualibact-v1.0,error,100,95,5,91,8,13
Aeromonas caviae,qualibact-v1.0,warn,819,758,61,722,60,43
Aeromonas dhakensis,qualibact-v1.0,warn,186,157,29,158,15,8
Aeromonas hydrophila,qualibact-v1.0,warn,236,161,75,153,10,8
Aeromonas salmonicida,qualibact-v1.0,warn,332,291,41,269,35,10
Aeromonas veronii,qualibact-v1.0,warn,447,377,70,357,26,20
Agrobacterium fabacearum,qualibact-v1.0,warn,237,178,59,157,23,15
Agrobacterium pusense,qualibact-v1.0,warn,117,105,12,98,7,14
Agrobacterium tumefaciens,qualibact-v1.0,warn,172,113,59,110,12,9
Aliarcobacter butzleri,qualibact-v1.0,warn,276,231,45,210,21,13
Aliivibrio fischeri,qualibact-v1.0,warn,186,184,2,175,12,11
Alistipes onderdonkii,qualibact-v1.0,warn,284,278,6,243,39,22
Bacillus altitudinis,qualibact-v1.0,error,147,81,66,83,9,9
Bacillus anthracis,qualibact-v1.0,info,1656,1520,136,1419,108,116
Bacillus bombysepticus,qualibact-v1.0,info,533,531,2,491,53,52
Bacillus cereus,qualibact-v1.0,warn,642,448,194,405,44,25
Bacillus licheniformis,qualibact-v1.0,warn,211,149,62,143,15,10
Bacillus mobilis,qualibact-v1.0,warn,132,130,2,126,15,7
Bacillus mycoides,qualibact-v1.0,warn,204,145,59,137,13,10
Bacillus paralicheniformis,qualibact-v1.0,error,132,92,40,94,10,6
Bacillus paranthracis,qualibact-v1.0,info,767,733,34,677,65,55
Bacillus pumilus,qualibact-v1.0,warn,160,113,47,103,18,12
Bacillus safensis,qualibact-v1.0,warn,141,100,41,99,6,15
Bacillus spizizenii,qualibact-v1.0,warn,135,121,14,116,16,8
Bacillus subtilis,qualibact-v1.0,warn,2364,1946,418,1745,273,141
Bacillus thuringiensis,qualibact-v1.0,warn,589,479,110,447,42,34
Bacillus toyonensis,qualibact-v1.0,warn,146,130,16,118,15,13
Bacillus velezensis,qualibact-v1.0,warn,819,268,551,249,24,19
Bacillus wiedmannii,qualibact-v1.0,warn,182,175,7,152,26,12
Bacteroides caccae,qualibact-v1.0,warn,403,397,6,353,46,20
Bacteroides cellulosilyticus,qualibact-v1.0,warn,208,203,5,182,21,14
Bacteroides fragilis,qualibact-v1.0,info,1329,1293,36,1174,110,93
Bacteroides ovatus,qualibact-v1.0,info,612,598,14,528,59,44
Bacteroides stercoris,qualibact-v1.0,warn,166,163,3,138,27,13
Bacteroides thetaiotaomicron,qualibact-v1.0,info,726,706,20,634,61,82
Bacteroides uniformis,qualibact-v1.0,info,1236,1225,11,1091,138,89
Bacteroides xylanisolvens,qualibact-v1.0,warn,397,387,10,353,31,31
Bartonella krasnovii,qualibact-v1.0,warn,315,301,14,277,30,30
Bifidobacterium adolescentis,qualibact-v1.0,info,1955,1909,46,1833,124,114
Bifidobacterium animalis,qualibact-v1.0,warn,427,366,61,351,13,34
Bifidobacterium bifidum,qualibact-v1.0,warn,251,230,21,212,23,11
Bifidobacterium breve,qualibact-v1.0,error,249,190,59,175,16,24
Bifidobacterium dentium,qualibact-v1.0,warn,144,128,16,118,25,6
Bifidobacterium longum,qualibact-v1.0,info,1870,1756,114,1603,173,113
Bifidobacterium pseudocatenulatum,qualibact-v1.0,info,576,559,17,515,53,42
Bordetella pertussis,qualibact-v1.0,info,7144,6456,688,6012,367,1147
Borreliella afzelii,qualibact-v1.0,warn,145,140,5,128,16,7
Borreliella burgdorferi,qualibact-v1.0,warn,592,534,58,498,47,67
Borreliella garinii,qualibact-v1.0,error,208,200,8,180,19,12
Brachyspira hyodysenteriae,qualibact-v1.0,warn,162,147,15,143,11,15
Bradyrhizobium diazoefficiens,qualibact-v1.0,warn,239,123,116,111,12,21
Brucella melitensis,qualibact-v1.0,info,2881,2804,77,2737,135,166
Burkholderia cenocepacia,qualibact-v1.0,warn,507,482,25,438,50,38
Burkholderia cepacia,qualibact-v1.0,warn,281,255,26,220,48,20
Burkholderia contaminans,qualibact-v1.0,warn,222,199,23,184,12,18
Burkholderia dolosa,qualibact-v1.0,info,803,797,6,771,33,53
Burkholderia gladioli,qualibact-v1.0,warn,297,270,27,238,32,17
Burkholderia mallei,qualibact-v1.0,info,5723,5688,35,5268,506,597
Burkholderia multivorans,qualibact-v1.0,info,583,531,52,488,63,32
Burkholderia orbicola,qualibact-v1.0,warn,242,241,1,216,25,14
Burkholderia seminalis,REFSEQ-QC-v1,error,8,4,4,1,0,24
Burkholderia stagnalis,qualibact-v1.0,error,91,89,2,88,4,16
Burkholderia ubonensis,qualibact-v1.0,warn,256,249,7,227,27,16
Burkholderia vietnamiensis,qualibact-v1.0,warn,192,181,11,160,24,15
Campylobacter coli,qualibact-v1.1,warn,190,98,92,,,
Campylobacter concheus,qualibact-v1.0,warn,147,147,0,131,15,20
Campylobacter fetus,qualibact-v1.1,info,549,519,30,495,39,40
Campylobacter hyointestinalis,qualibact-v1.0,warn,119,113,6,107,8,13
Campylobacter jejuni,qualibact-v1.1,info,1157,654,503,,,
Campylobacter lari,qualibact-v1.0,warn,632,584,48,545,54,35
Campylobacter upsaliensis,qualibact-v1.0,info,811,809,2,748,57,56
Candida auris,REFSEQ-QC-v1,error,118,59,59,,,
Caulobacter vibrioides,qualibact-v1.0,warn,224,216,8,197,26,16
Chlamydia trachomatis,qualibact-v1.0,warn,1163,1039,124,932,103,140
Citrobacter amalonaticus,qualibact-v1.0,warn,218,203,15,186,26,7
Citrobacter braakii,qualibact-v1.0,warn,375,331,44,309,28,14
Citrobacter farmeri,qualibact-v1.0,warn,134,130,4,116,15,7
Citrobacter freundii,qualibact-v1.0,info,2254,2058,196,1859,251,88
Citrobacter koseri,qualibact-v1.0,warn,312,276,36,266,38,18
Citrobacter portucalensis,qualibact-v1.0,warn,466,409,57,377,39,20
Citrobacter rodentium,qualibact-v1.0,warn,260,257,3,235,18,57
Citrobacter sedlakii,qualibact-v1.0,warn,101,100,1,96,9,15
Citrobacter werkmanii,qualibact-v1.0,warn,252,245,7,224,22,16
Citrobacter youngae,qualibact-v1.0,warn,142,138,4,137,16,5
Clostridium beijerinckii,qualibact-v1.0,warn,112,100,12,92,19,11
Clostridium botulinum,qualibact-v1.0,info,998,928,70,884,109,32
Clostridium cagae,qualibact-v1.0,error,95,95,0,85,10,12
