species,scheme,metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
Achromobacter xylosoxidans,qualibact-v1.0,N50,non-normal,243387.5104895105,200292.18335757637,144312.5,98765.5,373712.75,274947.25,28453.0,1110653.0,33326.775,982625.0249999996,39247.75,741204.125,33326.78,982625.02,39247.75,741204.12,Achromobacter xylosoxidans,286,0,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,qualibact-v1.0,number,non-normal,116.84965034965035,79.99935609367253,104.0,60.0,141.75,81.75,19.0,612.0,21.425,447.22499999999974,32.25,347.25,21.42,447.22,32.25,347.25,Achromobacter xylosoxidans,286,0,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,qualibact-v1.0,longest,non-normal,665753.8251748251,484258.3082154932,458029.0,303880.5,949279.25,645398.75,136189.0,2835516.0,150075.975,2708406.8999999966,184364.375,2008025.125,150075.98,2708406.9,184364.38,2008025.12,Achromobacter xylosoxidans,286,0,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,qualibact-v1.0,GC_Content,normal,67.60773671328671,0.16843106041841863,67.61410000000001,67.500275,67.7343,0.2340250000000026,67.1756,68.0547,67.214355,67.9619925,67.246925,67.90705,65.779,68.2657,67.2469,67.907,Achromobacter xylosoxidans,286,28,non-normal,67.46752857142857,0.47719513592984425,67.55335,67.37517500000001,67.67215,0.2969749999999891,65.779,68.2657,65.81153499999999,68.208649,65.94167499999999,67.980445,0.19905094905094906,0.22991866058787117,0.16369785214785174
Achromobacter xylosoxidans,qualibact-v1.0,Completeness_Specific,non-normal,99.99986013986013,0.0011743255680947732,100.0,100.0,100.0,0.0,99.99,100.0,99.99,100.0,100.0,100.0,91.1,100.0,100.0,100.0,Achromobacter xylosoxidans,286,28,non-normal,94.48142857142857,1.3306301253963284,94.215,93.8675,94.885,1.0174999999999983,91.1,99.48,91.33624999999999,99.04935,92.28125,97.32675,1.0,2.5699328026241304e-40,5.518431568431567
Achromobacter xylosoxidans,qualibact-v1.0,Contamination,non-normal,0.31590909090909086,0.44462883726131436,0.18,0.1,0.34,0.24000000000000002,0.0,3.06,0.01,2.6072499999999996,0.02,1.5275,0.01,9.24,0.02,1.53,Achromobacter xylosoxidans,286,28,normal,5.0925,1.8211449008796639,5.029999999999999,3.7925,6.16,2.3675,0.99,9.24,1.1979,9.090149999999998,2.0295,8.49075,0.9502997002997003,1.3586923138541047e-29,4.77659090909091
Achromobacter xylosoxidans,qualibact-v1.0,Total_Coding_Sequences,non-normal,6080.657342657342,201.18712734248965,6079.5,5903.75,6240.75,337.0,5682.0,6691.0,5698.925,6592.374999999999,5756.5,6429.625,5698.92,6870.0,5756.5,6429.62,Achromobacter xylosoxidans,286,28,normal,6194.392857142857,244.04015174406302,6155.5,6069.75,6301.75,232.0,5769.0,6870.0,5778.585,6833.28,5816.925,6686.4,0.28496503496503495,0.025021828076064217,113.7355144855145
Achromobacter xylosoxidans,qualibact-v1.0,Genome_Size,non-normal,6634277.493006993,189645.00026897408,6615943.5,6479491.0,6790040.5,310549.5,6176232.0,7179377.0,6251810.05,7078655.35,6333605.125,6984872.375,6251810.05,7359146.0,6333605.12,6984872.38,Achromobacter xylosoxidans,286,28,normal,6689464.928571428,230996.15753172923,6651424.5,6561282.5,6813182.75,251900.25,6268754.0,7359146.0,6285835.82,7320364.145,6354163.1,7165236.725,0.20104895104895104,0.2203990392357964,60147.85214785214
Achromobacter xylosoxidans,qualibact-v1.1,N50,non-normal,323578.49095607235,320675.6556787789,151927.0,67361.5,503573.5,436212.0,23877.0,1404701.0,24803.75,1345221.7899999998,33274.0,1102358.1499999992,24803.75,1345221.79,33274.0,1102358.15,Achromobacter xylosoxidans,387,0,,,,,,,,,,,,,,,,
Achromobacter xylosoxidans,qualibact-v1.1,number,non-normal,100.95865633074935,85.55541804497763,78.0,31.0,150.0,119.0,13.0,464.0,13.0,422.07,16.0,316.69999999999993,13.0,422.07,16.0,316.7,Achromobacter xylosoxidans,387,0,,,,,,,,,,,,,,,,
