species,metric,lower_bounds,upper_bounds
Streptococcus_agalactiae,N50,36000.0,
Streptococcus_agalactiae,no_of_contigs,,140.0
Streptococcus_agalactiae,GC_Content,35.0,37.0
Streptococcus_agalactiae,Completeness,96.0,
Streptococcus_agalactiae,Contamination,,3.0
Streptococcus_agalactiae,Total_Coding_Sequences,1900.0,2400.0
Streptococcus_agalactiae,Genome_Size,1900000.0,2400000.0
Streptococcus_equi,N50,24000.0,
Streptococcus_equi,no_of_contigs,,210.0
Streptococcus_equi,GC_Content,40.0,42.0
Streptococcus_equi,Completeness,98.0,
Streptococcus_equi,Contamination,,2.0
Streptococcus_equi,Total_Coding_Sequences,1800.0,2300.0
Streptococcus_equi,Genome_Size,1900000.0,2300000.0
Streptococcus_suis,N50,20000.0,
Streptococcus_suis,no_of_contigs,,290.0
Streptococcus_suis,GC_Content,39.0,44.0
Streptococcus_suis,Completeness,94.0,
Streptococcus_suis,Contamination,,5.0
Streptococcus_suis,Total_Coding_Sequences,1800.0,2700.0
Streptococcus_suis,Genome_Size,1800000.0,2700000.0
Streptococcus_pneumoniae,N50,24000.0,
Streptococcus_pneumoniae,no_of_contigs,,220.0
Streptococcus_pneumoniae,GC_Content,39.0,40.0
Streptococcus_pneumoniae,Completeness,98.0,
Streptococcus_pneumoniae,Contamination,,3.0
Streptococcus_pneumoniae,Total_Coding_Sequences,1900.0,2500.0
Streptococcus_pneumoniae,Genome_Size,1900000.0,2400000.0
Streptococcus_uberis,N50,40000.0,
Streptococcus_uberis,no_of_contigs,,120.0
Streptococcus_uberis,GC_Content,36.0,37.0
Streptococcus_uberis,Completeness,99.0,
Streptococcus_uberis,Contamination,,2.0
Streptococcus_uberis,Total_Coding_Sequences,1700.0,2200.0
Streptococcus_uberis,Genome_Size,1700000.0,2200000.0
Streptococcus_pyogenes,N50,60000.0,
Streptococcus_pyogenes,no_of_contigs,,90.0
Streptococcus_pyogenes,GC_Content,38.0,39.0
Streptococcus_pyogenes,Completeness,98.0,
Streptococcus_pyogenes,Contamination,,3.0
Streptococcus_pyogenes,Total_Coding_Sequences,1500.0,2100.0
Streptococcus_pyogenes,Genome_Size,1600000.0,2100000.0
Streptococcus_dysgalactiae,N50,34000.0,
Streptococcus_dysgalactiae,no_of_contigs,,190.0
Streptococcus_dysgalactiae,GC_Content,39.0,40.0
Streptococcus_dysgalactiae,Completeness,92.0,
Streptococcus_dysgalactiae,Contamination,,3.0
Streptococcus_dysgalactiae,Total_Coding_Sequences,1900.0,2400.0
Streptococcus_dysgalactiae,Genome_Size,1900000.0,2400000.0
