metric,median,q1,q3,min,max,upper_bound,lower_bound,MY_LOWER,MY_UPPER,species
N50,242643.0,187517.0,332742.0,37326.0,672690.0,513158.6799999991,52144.68,52144.68,513158.68,Xanthomonas_euvesicatoria
number,59.0,45.0,75.0,34.0,300.0,267.47999999999945,35.0,35.0,267.48,Xanthomonas_euvesicatoria
longest,686367.0,495664.0,836025.0,146368.0,1369552.0,1330278.44,184739.52,184739.52,1330278.44,Xanthomonas_euvesicatoria
GC_Content,0.6478010000000001,0.646961,0.648852,0.644864,0.650694,0.65026448,0.6452871600000001,0.6444,0.6504,Xanthomonas_euvesicatoria
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.35,100.0,Xanthomonas_euvesicatoria
Contamination,0.51,0.2,0.75,0.02,1.72,1.2567999999999997,0.03,0.03,2.69,Xanthomonas_euvesicatoria
Total_Coding_Sequences,4412.0,4392.0,4464.0,4067.0,4750.0,4662.799999999999,4108.96,4108.96,4794.0,Xanthomonas_euvesicatoria
Genome_Size,5171275.0,5151018.0,5223465.0,4890084.0,5418574.0,5370583.64,4930725.76,4930725.76,5500184.0,Xanthomonas_euvesicatoria
N50,157514.0,113285.0,233335.0,20315.0,820955.0,609839.25,36105.0,36105.0,609839.25,Streptococcus_agalactiae
number,35.0,27.0,47.0,12.0,232.0,134.0,17.0,17.0,134.0,Streptococcus_agalactiae
longest,371129.0,261415.5,548227.5,63022.0,1041145.0,844977.5,94128.5,94128.5,844977.5,Streptococcus_agalactiae
GC_Content,0.353072,0.352332,0.353713,0.348552,0.361046,0.35619375,0.3505582499999999,0.3506,0.3602,Streptococcus_agalactiae
Completeness_Specific,100.0,100.0,100.0,99.98,100.0,100.0,99.99,95.59,100.0,Streptococcus_agalactiae
Contamination,0.11,0.07,0.16,0.0,1.16,0.48,0.03,0.03,2.17,Streptococcus_agalactiae
Total_Coding_Sequences,2050.0,2011.0,2101.0,1841.0,2392.0,2283.0,1903.0,1903.0,2398.0,Streptococcus_agalactiae
Genome_Size,2073061.0,2039245.5,2119447.5,1907405.0,2349986.0,2261601.5,1952753.25,1951859.0,2378065.0,Streptococcus_agalactiae
N50,488745.0,397736.5,681505.0,65250.0,2510842.0,2510799.81,80892.49,80892.49,2510799.81,Citrobacter_koseri
number,44.0,37.0,54.0,23.0,185.0,172.80999999999997,23.0,23.0,172.81,Citrobacter_koseri
longest,1148317.5,751264.0,1631277.0,231334.0,2510842.0,2510799.81,265673.37,265673.37,2510799.81,Citrobacter_koseri
GC_Content,0.5377514999999999,0.537235,0.5380715,0.533841,0.539863,0.539703245,0.533964135,0.5324,0.5397,Citrobacter_koseri
Completeness_Specific,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.05,100.0,Citrobacter_koseri
Contamination,0.03,0.0,0.05,0.0,0.56,0.5526999999999999,0.0,0.0,1.47,Citrobacter_koseri
Total_Coding_Sequences,4470.0,4347.5,4556.75,4136.0,4943.0,4799.905,4170.73,4170.73,5111.0,Citrobacter_koseri
Genome_Size,4809019.0,4691600.5,4868025.75,4496670.0,5148538.0,5082715.935,4538100.64,4538100.64,5270494.0,Citrobacter_koseri
N50,397537.5,310369.5,612345.25,49659.0,2194812.0,2162779.2299999995,84422.295,84422.3,2162779.23,Bacillus_licheniformis
number,37.5,31.0,49.25,19.0,182.0,166.5649999999997,19.735,19.74,166.56,Bacillus_licheniformis
longest,803785.0,604560.75,1181305.5,198004.0,2194812.0,2162779.2299999995,215352.94,215352.94,2162779.23,Bacillus_licheniformis
GC_Content,0.4600275,0.4580495,0.4619534999999999,0.45578,0.462557,0.46254524,0.4557947,0.4557,0.4635,Bacillus_licheniformis
Completeness_Specific,100.0,99.99,100.0,99.98,100.0,100.0,99.98,92.16,100.0,Bacillus_licheniformis
Contamination,0.12,0.07,0.2025,0.01,1.01,0.8850499999999977,0.01,0.01,5.75,Bacillus_licheniformis
Total_Coding_Sequences,4385.0,4257.75,4491.25,4133.0,4909.0,4857.549999999999,4139.615,4139.62,5060.0,Bacillus_licheniformis
Genome_Size,4258806.5,4172549.25,4334972.75,4084793.0,4600878.0,4575366.149999999,4087480.16,4087480.16,4824459.0,Bacillus_licheniformis
N50,115616.0,99132.0,149503.0,13725.0,155709.0,155709.0,14399.88,14399.88,155709.0,Deinococcus_radiodurans
number,81.0,69.0,118.0,61.0,472.0,465.1600000000001,61.0,61.0,465.16,Deinococcus_radiodurans
longest,302412.0,221791.0,360203.0,43160.0,385443.0,384750.64,52916.12,52916.12,384750.64,Deinococcus_radiodurans
GC_Content,0.667355,0.6672060000000001,0.667479,0.664645,0.668917,0.66886684,0.66484412,0.6648,0.6689,Deinococcus_radiodurans
Completeness_Specific,99.91,99.89,99.92,90.46,99.97,99.97,91.5468,91.55,99.97,Deinococcus_radiodurans
Contamination,0.02,0.02,0.03,0.0,0.08,0.08,0.0076,0.01,1.12,Deinococcus_radiodurans
Total_Coding_Sequences,3140.0,3129.0,3173.0,3078.0,3505.0,3491.32,3092.44,3092.44,3491.32,Deinococcus_radiodurans
Genome_Size,3249170.0,3242462.0,3252888.0,3198919.0,3266700.0,3266530.52,3201471.08,3193850.0,3344765.0,Deinococcus_radiodurans
