species,metric,lower_bounds,upper_bounds
Escherichia_ruysiae,N50,60000.0,
Escherichia_ruysiae,no_of_contigs,,240.0
Escherichia_ruysiae,GC_Content,50.0,51.0
Escherichia_ruysiae,Completeness,99.0,
Escherichia_ruysiae,Contamination,,2.0
Escherichia_ruysiae,Total_Coding_Sequences,4000.0,5000.0
Escherichia_ruysiae,Genome_Size,4300000.0,5100000.0
Escherichia_marmotae,N50,54000.0,
Escherichia_marmotae,no_of_contigs,,460.0
Escherichia_marmotae,GC_Content,50.0,51.0
Escherichia_marmotae,Completeness,98.0,
Escherichia_marmotae,Contamination,,2.0
Escherichia_marmotae,Total_Coding_Sequences,4000.0,5200.0
Escherichia_marmotae,Genome_Size,4400000.0,5300000.0
Escherichia_fergusonii,N50,70000.0,
Escherichia_fergusonii,no_of_contigs,,210.0
Escherichia_fergusonii,GC_Content,49.0,51.0
Escherichia_fergusonii,Completeness,89.0,
Escherichia_fergusonii,Contamination,,9.0
Escherichia_fergusonii,Total_Coding_Sequences,4000.0,5200.0
Escherichia_fergusonii,Genome_Size,4300000.0,5300000.0
Escherichia_albertii,N50,27000.0,
Escherichia_albertii,no_of_contigs,,470.0
Escherichia_albertii,GC_Content,49.0,51.0
Escherichia_albertii,Completeness,97.0,
Escherichia_albertii,Contamination,,2.0
Escherichia_albertii,Total_Coding_Sequences,4100.0,5500.0
Escherichia_albertii,Genome_Size,4300000.0,5400000.0
Escherichia_coli,N50,20000.0,
Escherichia_coli,no_of_contigs,,700.0
Escherichia_coli,GC_Content,50.0,52.0
Escherichia_coli,Completeness,95.0,
Escherichia_coli,Contamination,,16.0
Escherichia_coli,Total_Coding_Sequences,3900.0,6500.0
Escherichia_coli,Genome_Size,4100000.0,6300000.0
