species,metric,lower_bounds,upper_bounds
Mycobacterium_avium,N50,14000.0,
Mycobacterium_avium,no_of_contigs,,620.0
Mycobacterium_avium,GC_Content,68.0,70.0
Mycobacterium_avium,Completeness,94.0,
Mycobacterium_avium,Contamination,,7.0
Mycobacterium_avium,Total_Coding_Sequences,4500.0,5700.0
Mycobacterium_avium,Genome_Size,4700000.0,5900000.0
Mycobacterium_intracellulare,N50,35000.0,
Mycobacterium_intracellulare,no_of_contigs,,430.0
Mycobacterium_intracellulare,GC_Content,67.0,69.0
Mycobacterium_intracellulare,Completeness,95.0,
Mycobacterium_intracellulare,Contamination,,13.0
Mycobacterium_intracellulare,Total_Coding_Sequences,4900.0,7100.0
Mycobacterium_intracellulare,Genome_Size,5200000.0,7300000.0
Mycobacterium_tuberculosis,N50,34000.0,
Mycobacterium_tuberculosis,no_of_contigs,,320.0
Mycobacterium_tuberculosis,GC_Content,65.0,66.0
Mycobacterium_tuberculosis,Completeness,96.0,
Mycobacterium_tuberculosis,Contamination,,3.0
Mycobacterium_tuberculosis,Total_Coding_Sequences,4000.0,4600.0
Mycobacterium_tuberculosis,Genome_Size,4200000.0,4600000.0
Mycobacterium_marinum,N50,22000.0,
Mycobacterium_marinum,no_of_contigs,,620.0
Mycobacterium_marinum,GC_Content,65.0,66.0
Mycobacterium_marinum,Completeness,98.0,
Mycobacterium_marinum,Contamination,,3.0
Mycobacterium_marinum,Total_Coding_Sequences,5200.0,6000.0
Mycobacterium_marinum,Genome_Size,5200000.0,6700000.0
Mycobacterium_abscessus,N50,74000.0,
Mycobacterium_abscessus,no_of_contigs,,180.0
Mycobacterium_abscessus,GC_Content,63.0,65.0
Mycobacterium_abscessus,Completeness,96.0,
Mycobacterium_abscessus,Contamination,,3.0
Mycobacterium_abscessus,Total_Coding_Sequences,4600.0,5800.0
Mycobacterium_abscessus,Genome_Size,4600000.0,5600000.0
