species,metric,lower_bounds,upper_bounds
Enterococcus_faecalis,N50,46000.0,
Enterococcus_faecalis,no_of_contigs,,230.0
Enterococcus_faecalis,GC_Content,36.0,38.0
Enterococcus_faecalis,Completeness,97.0,
Enterococcus_faecalis,Contamination,,3.0
Enterococcus_faecalis,Total_Coding_Sequences,2400.0,3600.0
Enterococcus_faecalis,Genome_Size,2600000.0,3600000.0
Enterococcus_lactis,N50,36000.0,
Enterococcus_lactis,no_of_contigs,,230.0
Enterococcus_lactis,GC_Content,37.0,39.0
Enterococcus_lactis,Completeness,97.0,
Enterococcus_lactis,Contamination,,2.0
Enterococcus_lactis,Total_Coding_Sequences,2400.0,3100.0
Enterococcus_lactis,Genome_Size,2500000.0,3100000.0
Enterococcus_faecium,N50,16000.0,
Enterococcus_faecium,no_of_contigs,,560.0
Enterococcus_faecium,GC_Content,37.0,39.0
Enterococcus_faecium,Completeness,96.0,
Enterococcus_faecium,Contamination,,5.0
Enterococcus_faecium,Total_Coding_Sequences,2300.0,3600.0
Enterococcus_faecium,Genome_Size,2400000.0,3500000.0
